,BTC,ETH,BCH,XRP,MIOTA,DASH,LTC,BTG,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.105216891632828,0,0,-0.089113995161535,0.118220064888259,0.0242837472683903,0.0452101700685728,0,0,0,0,0.147090315952999,0.00409681923730626,0,0,0,0,0
ETH,0,0,0,0,0.0241529891283313,0.0362044997020164,0,0,0.0346250168567758,0,0.113806190041874,0.0152051436295968,0,0.0170681367074748,0.00307092629449485,0,0,0,0,0
BCH,0,0,0,0,0,0.166785611890065,0,0.0690004623028748,-0.0424333949288818,0,0.0868664319919106,0.413665443247698,0,0,-0.0180942947145638,0,0,0,0,0
XRP,0,0,0,0,0,0,0,-0.0267822804271561,0.0949216397474278,0,0.0987030143053203,0,0,0,0.0444745099378695,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,-0.0250244425443871,0.266119829243878,0,0.0519210258180415,0,0,0,0.0552358654598952,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0.0721297448045283,0,0.0459003851376696,0,0,0,0,0,0,0,0
LTC,0,0,0,0.115170363673896,0.0696186427437953,0,0,0.00128420096465261,0.0582754144454056,0,0.0941627335555918,0,0,0.0257880067506145,0,0,0,0,0,0
BTG,0,0,0.270357648095263,0,0,0,0,0,0,0,0,0,0,0,-0.00200814343734341,0,0,0,0,0
ADA,0,0,-0.108934124564569,0,0.0288981403455975,0,0.285805596748612,-0.0270933158096036,0,0.128213308704954,0.221531405434505,0,0.250335464260391,0,0,0,0,0,0,0
XMR,0,0,0.0492940331016539,0,0.0574334863674746,0.136567248935853,0,0.00236045189263837,0.116919246911359,0,0.0151650630888344,0.123312836191716,0,0,0.0146241749414711,0,0,0,0,0
ETC,0,0,0.169259555861477,0.00149042133271614,0,0,0.0914432522551216,0,0.19474052976105,0,0,0,0,0,0.0165048848546474,0,0,0,0,0
NEO,0,0,0,0,0.0653951793499266,0,0,0,0,0,0,0,0.0390836247117084,0.0676333396210465,0.169764194087616,0,0,0,0,0
XEM,0,0,0,0,0.0791450812915273,0,0,0,0.0736804639837706,0,0.0655114212280048,0,0,0,0.0232967857719154,0,0,0,0,0
EOS,0,0,0.111212312357251,0,0.173509608045224,0,0.210615526619017,0,0,0,0,0.151366774443412,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.1577996375307,0,0,-0.014611941122349,0.277591476199415,0,0,0,0.219839942841506,0.17816078027791,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.00480195243806398,0,0,0.0258778491168632,0,0.0161120749313635,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.000048396696186658,0,0,0,-0.0000277670662312768,0,0,0,0,0,0,0,0,0,0,-0.0176883527967664
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
