,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.000153737956872722,0,0,0,0.087118297684948,0,0,0,0.000954609433920007,0.14537443511842,0,0.0729552708560846,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0.000410180985555159,0,0,0,0.216613976701314,0,0.0213491162341732,0,0.019162170630952,0.202870974327709,0,0.228374015639241,0,0,0,0,0,0,0
XRP,0,0,0.0476029313880652,0,0,0.123908484925273,0,0,0,0,0.0688738054523495,0,0.126433679289301,0,0,0,0,0,0,0
BCH,0,0.000505384142756262,0.0899623717239737,0,0,0.370081851495014,0,0,0,0,0.0183958151303124,0,0.265474485170484,0,0,0,0,0,0,0
BSV,0,0,0.00000000000000000693889390390723,0,0.626339111492749,0,0,0,0,0,0,0,0,0.0674015795204605,0,0,0,0,0,0
LTC,0,0.00172202899267603,0,0,0,0,0,0,0,0,0.236087811663772,0,0.0798896229318643,0.00000000000000000173472347597681,0,0,0,0,0,0
BNB,0,-0.00183103717533389,0.31935271771528,0,0,0.0378583030136991,0,0,0,0,0.164568286468832,0,0.0560482096295015,0,0,0,0,0,0,0
EOS,0,-0.00167363276583272,0.0334691830543244,0,0.239734281065449,0.0737405016679826,0,0,0,0.0129212864608652,0.132097096902604,0,0.0581005787295035,0,0,0,0,0,0,0
TAGZ5,0,0.00359551268841403,0.346354590708124,0,0.10310961758376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206324723814434
XTZ,0,0.00268629879555243,0.297927669907015,0,0,0,0,0,0,0.0239878306332107,0,0,0,0.472556423054517,0,0,0,0,0,0
XLM,0,0.000671848894248411,0,0,0,0.18420527843778,0,0,0,0,0.181335742785088,0,0.276787627028259,0,0,0,0,0,0,0
ADA,0,-0.00182688203163198,0,0,0.138743444948972,0,0,0.0591805524864312,0,0,0.308758450503891,0,0,0.070968439672983,0.0911711673061234,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.618232130942526,0,0,0,0,0,0,0,0,0
XMR,0,-0.00431979663503279,0,0,0,0.0508831104692271,0,0.173461742783192,0,0.0270211662662891,0.184274784760044,0,0.16798515366012,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.000496666756063896,0,0,0,0,0,0,0,0,0,0,0,-0.0165432177169803,0,0,-0.0956973817870191,0,0,0
CVIX.INDEX,0,-0.00000035505491453704,0,0,0,0,0,0,0,-0.00000134622520002243,0,0,0,0,0,0,0,0,-0.404057555610114,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0.000000372423726094021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286034419036874,0,0,-0.269010910084393
VIX.INDEX,0,0.00554078099609261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42343091198543,0
