,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,TRX,LEO,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.121398337706128,0,0.270488372426601,0,0,0,0,0.282879951849704,0,0,0,0,0.0699747359370175,0,0,0,0,0,0
ETH,0.134815873708043,0,0,0,0.0900761366691106,0,0.203793159613678,0.040602196787375,0,0,0,0.209367635116039,0,0,0,0,0,0,0,0
XRP,0,0,0,0.273452605686839,0,0,0,0,0,0,0.0257831203405943,0.15193324527552,0,0,0,0,0,0,0,0
BCH,0.153352001101064,0.271570573638253,0,0,0,0,0.186313545676846,0,0.0100830773795863,0,0,0.099593013626901,0,0,0,0,0,0,0,0
LTC,0,0.0541171377534382,0,0,0,0,0.460261782640301,0,0,0,-0.00000000000000000173472347597681,0.0696377227666331,0,0,0,0,0,0,0,0.0250690008640631
BNB,0,0,0,0,0.256863397583363,0,0,0,0.120758718118646,0,0,0.0542354779089986,0,0,0,0,0,0,0,0
EOS,0,0,0,0.110296812512867,0.0930777962684272,0,0,0.06224781599677,0.00422508236395717,0,0.0946400625693487,0.309117221754489,0,0,0,0,0,0,0,0
BSV,0.0292158998069584,0,0,0.221221565737507,0,0,0.0180607615943836,0,0,0,0,0.328001051776857,0,0,0,0,0,0,0,0
XMR,0.334934664859095,0,0,0.0639348923473955,0,0,0.120705229539688,0.0112635492021959,0,0,0,0.141609781104874,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0955603192038245,0.0117138278814484,0,0,0,0,0,0.216598227593525,0.215856888163129,0,0,0,0,0,0,0,0
ADA,0,0,0,0.060220239034418,0,0,0.251845759112371,0,0,0,0,0.371536980358415,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.00117607742852464,0,0.237368524382774,0.22284228506871,0.138618643754903,0,0.180191522950554,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.105811106885385,0,0.055562965238566,0,0,0,0,0,0,0,0,0,0,-0.0779291655867088
DASH,0.109615276870695,0,0,0,0,0,0.137248381583831,0.0254568716245151,0.0518377564726336,0,0,0.131624468164261,0,0,0,0,0,0,0,0
ETC,0,0,0,0.131656587571989,0.1550764841835,0,0,0.161088390927252,0,0,0,0.0973032990284624,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.042158518053846,0,0,0,0,0,-0.184782826990464,0,0,-0.0851613067745756
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384511617321251
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00000172160792850087,0,0,0,0.0206986930233466,0,0,0,-0.000759024597622905
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753290930639158
VIX.INDEX,0,0,0.00013273066621791,0.000101784737609397,0,0,0,0,0,0.000151303300854326,0.000185333901663709,0,-0.000455691557106407,0,0,0,0,0,-3.68714279682948,0
