,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.418644244563301,-0.0000000000000000000271050543121376,0.00547772517968412,0,0,0.0750341238361494,0.00433853135242633,0,0,0,0,0
XRP,0,0,0,0,0.0738661530660137,0,0.127083333643778,0.00467678942722115,0,0.045883303740069,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.49775640398808,0,0,0,0.0120597160895985,0,0.0109950917293363,0.00264628508375657,0,0.00106063078746743,0,0,0,0,0
DOGE,0,0,0,0.680625416939236,0,0,0.0705232663531938,0.0211060526537402,0.0784143072578953,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.162275150241176,-0.0197861460695967,0.114148107426549,0.169277369555067,0,0,0.0230309348127266,0,0.0549874669061973,0,0,0,0,0
XEM,0,0.0277638410669089,-0.109174522078415,1.32523274349922,0,0.158389530939603,0.201306869331798,0,-0.146611769874149,-0.179228542314009,0,-2.3207583717745,0,0,0
XMR,0.643273810306141,0,0,0,0.031531962121707,-0.0596250526510995,0,-0.0242784889003759,0,0.0231450254193742,0,0,0,0,0
DGB,0.449296136130724,0.0838915595463249,-0.0688707913566848,0,0,0,0,0.00522891537118975,0,0,0,0,0,0,0.196189102281117
BV010082.INDEX,0,0,0,0,0.000550531922052151,0,0,0,0,0,0,0,0,0,-0.0313417035430698
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000118442743364623,0,0,0,0,0,0,0.0469889811628326
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000834503586480446,0,0,0,0,-0.0992701830280394
VIX.INDEX,0,0.000968884009423086,-0.0000659744515477193,0,0.00247781040101991,0,0,-0.000376400606058887,0,0.000605076467728676,0,0,0,-3.09508313282467,0
