,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.104889696732031,0,0.0485796726944488,0.0297018866736716,0.0690860595389501,0,0,0.00427844714707591,0.0524145590637175,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.159377843138515,0.0530263300812422,0.0806337090187339,0,0,0,0.289765863863403,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0459971373767944,0,0.115644654323528,0.0704193565747519,0.0103370401346012,0,0,0,0.234082956334906,0,0.0195302289629027,0,0,0,0,0,0,0,0
EOS,0,0.103129439796996,0,0,0.0754247956065035,0.267996162346412,0,0,0.0179754658491383,0.295173148145077,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0952211468104682,0,0.198690860524959,0,0.186642825655719,0,0.0154029177435227,0,0.157328479632632,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.198929086411244,0.284394821417571,0,0,0,0,0,0.103543622178325,0,0,0,0,0,0,0,0,0
XLM,0,0.192734852986024,0,0,0.0911037847113405,0.132487887702709,0,0,0,0.17874460027798,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.237591829666639,0,0,0.0484101107040255,0.184211062199652,0,0.0738806570355726,0,0,0,0,0,0,0,0
BNB,0,0.0443421476144532,0,0.164167973573281,0.190357746517258,0,0,0.269420230077552,0,0,0,0.0880966728585121,0,0,0,0,0,0,0,0
ADA,0,0.340222500281587,0,0.0647141636590751,0.210818177643668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0.493046753687986,0,0,0,0.0635710993613515,0,0,0,0,0,0,0,0,0,0
XMR,0,0.173460065522745,0,0.19749868142066,0,0,0,0,0,0.202932231622553,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.10294112231806,0,0.364445863402039,0,0.0362496518232291,0,0,0,0.0937115499783821,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.307443043894551,0,0,0,0,0,0.257189452952838,0,0.0118734044089993,0,0,0,0,0,0,0,0
MKR,0,0.424908665449145,0,0.130051564276211,0,0,0,0,0,0,0,0.0951138768087885,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335947295575481
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111577823000463
VIX.INDEX,0,0,0.0000133261461513154,-0.0000000000000000000000529395592033938,0.00000106602307617119,0,0,0,0,0,0,0,0,0,0,0,-0.000000723462079588936,0,-2.34000246141472,0
