,BTC,ETH,XRP,BCH,LTC,EOS,XLM,ADA,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00439713379377355,0,0,0.0518699430840884,0,0.178519079007015,0.222712915212257,0.0852148188804851,0.010076492449626,0.0570670476395027,0,0,0,0,0
ETH,0,0,0.0202265556528276,0.0464311078059949,0,0.05809109293656,0,0,0.0970655815962571,0,0.179118681650679,0,0,0,0.0560610996396665,0,0,0,0,0
XRP,0,0,0,0,0.0146097380679825,0.0466271139616497,0.200429900098475,0.0411209032111854,0,0,0.108893163974792,0,0.0896150652732346,0.0394366726139478,0,0,0,0,0,0
BCH,0,0,0,0,0.207821379812709,0,0,0,0.0990868707036514,0.0868405644524233,0.0107554500120399,0,0.0282402587167801,0,0.078297637301162,0,0,0,0,0
LTC,0,0,0,0.13519709548805,0,0,0,0.0906698363562131,0,0.0369794758297609,0.190368891631338,0,0.1053760120019,0,0.00880807533280841,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.191833907132999,0,0.0622936098500973,0,0.0688157360589921,0.0142163663588651,0.0678401378802655,0,0,0,0,0
XLM,0,0,0.168903237911995,0,0,0,0,0.242815874521967,0.126808917956839,0,0.025602454964387,0,0.0496145131197725,0.051687262483061,0,0,0,0,0,0
ADA,0,0,0.125441650703228,0,0,0.120575771262249,0.250987976766651,0,0,0,0.0361154885559658,0,0.0910047084231642,0.0892432279412704,0,0,0,0,0,0
NEO,0,0,0,0.129464267797616,0,0,0.0625294372289784,0,0,0.234528796138664,0.20144624730001,0,0,0,0.0116497151221933,0,0,0,0,0
MIOTA,0,0,0,0,0.132015063961007,0.146174575259764,0,0.00340601974281752,0.0418774240953448,0,0.198306753090429,0.205159759839723,0.107721729837137,0,0.0103079731358502,0,0,0,0,0
XMR,0,0,0,0,0.0834712931327471,0,0,0,0.311180592201224,0.174311165370627,0,0.0512427595439469,0.00000000000000000346944695195361,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0078324053501331,0.13209230387258,0,0,0.140747566559079,0.123994818968606,0,0.106877787452515,0,0,0,0,0,0,0
TRX,0,0,0,0.204157441033967,0,0.0497511324232047,0,0,0.138968025145111,0.2086030098373,0.0834752049118822,0,0,0.169223279147845,0.0498692709488304,0,0,0,0,0.0394663360503617
XEM,0,0,0,0,0,-0.00000000000000000346944695195361,0.189187016155412,0.110970510977013,0.0886134401588004,0,0,0,0.245397478066641,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0.346316001470206,0.0855773156468624,0.123716184407616,0,0.047264764060172,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0433343546233099,0.0295839344316703,0,0.00613159432562419,0,0,0,0,0,0,0,-0.0167928328003317,0,0,0,0,0,-0.0396710109851881
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369860961621007
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307879631428928
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000442756446118187,0,0,0,0,0,0,0,0,0,0,-0.0625756190478767
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
