,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,XMR,ADA,LEO,TRX,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.398133267063594,0,0,0,0,0,0.307787975904096,0,0,0,0,0,0,0,0,0,0
ETH,0.115820369047925,0,0,0.0345591857328355,0.204917092549769,0,0.165788792279927,0.0277146791380856,0,0,0,0,0.153868786478349,0,0,0,0,0,0,0
XRP,0,0,0,0.265454258708324,0,0,0,0,0,0.0376900173568497,0.106057579172285,0,0.084027928050985,0,0,0,0,0,0,0
BCH,0.17388247946744,0.237708662345447,0,0,0.0826732342659089,0,0.111895454769717,0,0,0.020253256686395,0,0,0.0971994287435619,0,0,0,0,0,0,0
LTC,0,0,0,0.111762270777885,0,0,0.15912074763631,0,0,0,0.081671199762837,0,0.202778401940745,0.032910355085326,0,0,0,0,0,0
BNB,0.0265831491846251,0.15992226260195,0,0,0.140654967129546,0,0,0,0,0.0622997524294712,0,0,0.0714232756718336,0,0,0,0,0,0,0
EOS,0,0,0,0.130476892561919,0.0841747929650073,0,0,0.0519681426368378,0,0,0.0833697083957318,0,0.334115121207995,0,0,0,0,0,0,0
BSV,0,0,0,0.203428588613725,0,0,0.102070345129291,0,0.0562427575395753,0.0134463756994328,0,0,0.21425972228592,0,0,0,0,0,0,0
XLM,0.0166424882081023,0,0,0.0530168620064658,0.008820652290947,0,0,0,0,0,0.21896185000002,0,0.23538347200835,0,0,0,0,0,0,0
XMR,0.362733172459145,0,0,0.171066619995241,0,0,0,0.0211360827689549,0,0,0,0,0.0364610065138844,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.354121105021111,0,0.0980317841501541,0,0,0,0.292370629082049,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.105778774978652,0,0,0.0555876477240287,0,0,0,0,0,0,0,0,0,-0.0779294793359985
TRX,0,0,0,0,0.0357157586180843,0,0.228915749050003,0.234445463632329,0.034124119651321,0.100103082174356,0.121542700260416,0,0,0,0,0,0,0,0,0
DASH,0.0877820754103205,0,0,0,0.0073198942427304,0,0.133243651947062,0.000561342457987165,0,0.100762007585668,0,0,0.12823950902129,0,0,0,0,0,0,0
ETC,0,0,0,0.114305736168106,0.221692386606149,0,0,0.144012819293026,0,0,0,0,0.063531866190278,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0350456884767502,0,0,0,0,0,-0.205982952756853,0,0,-0.134238035596628
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340940314443876
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341358549944092,0,0,0,-0.000291923862696412
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790167848351867
VIX.INDEX,0,0,0.000033000328266935,0,-0.0000000000000000000016940658945086,0,0,0,0.0000292483789953272,0,0.0000346218306494503,-0.0000727368165288193,0,0,0,0,0,0,-3.69370116853173,0
