,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,XMR,TRX,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.14825831987657,0.0182536568842562,0.0892990446563296,0.0391312680359304,0,0,0,0.0105251888329018,0,0.0316414431528393,0,0,0,0,0,0,0
ETH,0,0,0,0.186321337508851,0.0163623450467322,0,0,0,0,0,0,0,0.0453240337488878,0.247965038105976,0,0,0,0,0,0
XRP,0,0,0,0.090108359802545,0.020993458021485,0.16641355240954,0,0,0,0,0,0,0,0.254930468649777,0,0,0,0,0,0
BCH,0,0,0,0,0.264846841177396,0.052203067465361,0.032209786864019,0,0,0,0,0,0,0.18361037986904,0,0,0,0,0,0
BSV,0,0,0,0.596954417154491,0,0,0.408672776257069,0,0,0,0,-0.0827668599764601,0,0,0,0,0,0,0,-0.0145331799230057
LTC,0,0,0,0.27830007321955,0.0245750508719376,0,0.229086104829672,0,0,0.0279011114580181,0,0,0.0247840484602832,0.0939381954832567,0,0,0,0,0,0
EOS,0,0,0,0.156396442056217,0.124819347949269,0,0,0,0,0,0.0564567825775856,0,0.0791908756586308,0.0576158716260041,0,0,0,0,0,0
BNB,0,0,0,0.151677883060202,0.003317939360333,0,0.099004121805925,0,0,0,0,0,0,0.181945956088437,0,0,0,0,0,0
XTZ,0,0,0,0,0.00537343747721804,0,0,0,0,0.185547183810172,0.0209883465220936,0,0.0805413985880697,0.0768569798648319,0,0,0,0,0,0
LINK,0,0,0,0,0,0.126500127419282,0,0,0.243347079741399,0,0.0824360803278465,0,0,0,0.218001618033087,0,0,0,0,0
ADA,0,0,0,0.104794261425361,0,0.136787557960728,0.0477220895461713,0,0,0,0,0,0.101016592188131,0.1725558578209,0,0,0,0,0,0
XLM,0,0.0547836214356047,0.279158438272649,0,0,0,0,0,0,0,0.153512097006702,0,0,0,0,0,0,0,0,-0.0796494140157001
XMR,0,0,0,-0.000000000000000000433680868994202,-0.0116614675114455,0.286146132568975,0,0,0.128796421486298,0.0749443851596007,0.246033226705591,0.0547587118460028,0,0,0,0,-0.0760242487653508,0,0,0
TRX,0,0,0,0.222809404670968,0,0,0.127102376918774,0,0,0,0.0919607278809796,0,0.0107877810830745,0,0,0,0,0,0,0
HT,0,0,0,0,0.0102950498759292,0.0341824250141839,0,0.227284848931985,0,0.208995754193205,0,0,0,0.0513657774754495,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00424465381454027,0,0,0,0,0,0,0.038522275197745,0,0,0,0,0,0,0,-0.140966070583571
CVIX.INDEX,0,0,0,0,0.00000113651108777104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134805299107013
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000532412405957336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083527371923246
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
