,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,EOS,XLM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.0454315111908192,0.00899145663535263,0.0560124728103637,0,0,0.0290134457319396,0.0147071876955703,0,0,0,0,0
ETH,0,0,0.0304924256515371,0.0319296294809131,0,0.162691738763426,0,0.0973981396846323,0.0418964572936736,0,0,0,0,0.0281110606853538,0.0622725429013787,0,0,0,0,0
XRP,0,0,0,0,0.106046841173786,0,0.117466208435087,0,0,0.0673425886688119,0,0,0,0.072890268994861,0,0,0,0,0,0
BCH,0,0,0.0177046964287528,0,0,0.0732245847308496,0.0299919034423748,0.0936140952561654,0.171265313411747,0,0,0.182718961428622,0,0,0.101942185236354,0,0,0,0,0
ADA,0,0,0.12692352971856,0,0,0,0.069601665765854,0,0.0437575852640979,0.433204320418687,0,0,0,0,0,0,0,0,0,0
LTC,0.12586044089404,0,0,0,0,0,0.239993886764701,0,0.0350469041548154,0,0.0544498654269392,0.147803062442914,0,0,0,0,0,0,0,0
XEM,0,0,0.129594081148395,0,0.0188194056490702,0.0341510204833176,0,0,0,0.287553543908408,0.0282896234652547,0,0,0,0.0818124462598331,0,0,0,0,0
NEO,0,0.257060806249176,0,0,0.0019741160385084,0,0.0305916054887966,0,0,0.229673763125038,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0800214269244404,0,0.15734146087031,0.0422027124718792,0,0,0.0661808193907303,0,0,0.266210819292141,0.0719443821877215,0.0846597747459234,0,0,0,0,0
XLM,0,0,0.110316261499907,0,0.306782889144229,0,0,0,0.00740501199808354,0,0.205451136648164,0,0.133960955350935,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0550497078562101,0.167673523405173,0,0.128687793326552,0.277663033729747,0,0,0,0.0756135181741211,0,0,0,0,0,0
DASH,0,0,0,0.0902992695439123,0.0264837250606755,0.109977758633299,0.00954688095940881,0.0087046042413738,0,0,0,0,0.113502188605253,0.089482843451795,0.0937493952494024,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.0413397559080855,0.0722290169570554,0.15830688110883,0.0630654236126496,0.261645121330977,0,0,0.0260182612802143,0,0,0,0,0
TRX,0.334469046359317,0,0,0.104824801117977,0.123003582204803,0.0994268271423951,0,0,0,0,-0.000000000000000000216840434497101,0.189096836674314,0,0,0,0,0,0,0,0
BTG,0,0,0,0.47977631169332,0.00905403486864729,0,0.00309491808515687,0,0,0,0,0,0.083658894063593,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00557948591073827,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00265379049583634,0,0,0,0,0,0,0,0,0,0,0.00250431128357596,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
