,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.141488248304405,0.0198040096649864,0,0.0386377689819972,0,0,0,0,0,0,0,0.0229689440679347
XRP,0,0,0.164478350947964,0.167866608226461,0,0.187059883298808,0.0808347401805536,-0.189107094655232,0,0,0,0,0,-0.046442716909922
LTC,0.271371317358265,0,0,0.0355535353709679,0,0,0.0504253370094351,0.0389259133488338,0,0,0,0,0,0.157414594099203
DOGE,0,0.0700445776799445,0.0343835603928691,0,0,0.211069172224956,0,0.135409448764163,0,0,0,0,0,0
DASH,0,0.102262778676433,0.0878940298943564,0,0,0.0870533946983174,0.102400945967405,0,0,0,0,0,0,0
XLM,0,0.20738443125128,0.0547492936153392,0.242826261816339,0,0,0,0,0,0,0,0,0,0.0668274288332911
XMR,0,0,0,0,0,0,0,0,0.231359474696275,0,0,0,0,0
XEM,0,0,0.107535035432239,0.173756591008653,0,0,0,0,0,0,0,0,0,0.185656111333126
DGB,0,0,0.073938525094344,0.035741548981717,0,0,0.0550871194468098,0,0,0,0,0,0,0.133850135882192
BV010082.INDEX,0,0,-0.0246128863731156,0,0,0,0,0.058189603498176,0,0,0.198144163360642,0,0,-0.0384351224390303
CVIX.INDEX,0,-0.0000164549597245083,0,0,0,0,0,0,0,0,0,0,0,0.0687280927519468
DXY.INDEX,0,0,-0.0000000420028007204829,0,0,0,0,0,0,0.0522731180237409,0.00853731479625616,0,0,-0.0109036757695186
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685958255016374
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
