,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0120996090098809,0,0,0.100733435054324,0.128789148289641,0,0,0.196791471925258,0,0,0,0,0,0,0,0
ETH,0,0,0.0866340232650301,0.121828191505787,0.0378456259163385,0,0,0,0.0641970872145691,0.109270381803621,0,0.0712456341621925,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0385517906893236,0.119024061045371,0,0.099954762382882,0,0.131401254228698,0,0.000831693976378566,0.119704276846711,0,0,0,0,0
BCH,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0.192088139703198,0,0,0.0867660469902871,0.281743206648723,0,0.0801816321146243,0,0,0,0,0
EOS,0,0,0.24046865972952,0,0,0,0,0,0,0.0563161583971157,0.134268074214902,0.100819172892095,0,0,0.0469004897790789,0,0,0,0,0
LTC,0,0,0,0,0.0366512284681694,0,0,0,0.0626231839202402,0,0,0.229638756941163,0,0,0.149421392468633,0,0,0,0,0
ADA,0,0,0.144325969262075,0,0.0746208458248632,0,0,0.294905818307028,0,0.0679655464584268,0,0,0,0.0747393439499879,0,0,0,0,0,0
XLM,0,0,0.235697825885015,0,0,0,0.172121670555548,0,0,0.160892256583719,0,0.0623909057729912,0,0.0573378610403464,0.0169723191119201,0,0,0,0,0
MIOTA,0,0,0.0096036648516028,0.137327770298982,0,0,0.0801696930450024,0,0,0.0805585146747415,0,0.209316576204779,0.0489428748554552,0,0.200773689353714,0,0,0,0,0
NEO,0,0,0,0,0.031888238960357,0,0,0.214189748929045,0.407079522030982,0,0,0.0453435092081643,0,0,0.0431504857205293,0,0,0,0,0
TRX,0,0,0,0.522455326730931,0,0,0,0,0,0.122206237213307,0,0.0714126803835091,0,0,0,0,0,0,0,0
XMR,0,0,0,0.115681068605795,0,0,0,0.151672025830932,0,0.0500280249012523,0,0,0.275518872080826,0,0,0,0,0,0,0
DASH,0,0,0,0.238916791813175,0,0,0,0.213697750544766,0.101157865565649,0,0.0681293522171901,0.0275087854433061,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.159329626751727,0.15377155867736,0.174958121980856,0,0.0508506841152485,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0458588261560537,0,0.116153272105584,0,0.0579069738004081,0.262344782151389,0.119167508461534,0.146531222335016,0.0478600325941565,0,0.0142602976130368,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0197178013656717,0,0,0,0,0,0,0,0,-0.0376760470662215
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10085720950728
VIX.INDEX,0,0,0,0,0.000000000000000000000211758236813575,0,0.00000909530626590194,0,0,0,0,0.0000747625391849832,0,0,-0.0000120635887550164,0,0,0,-3.87689771172786,0
