,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0121957068788575,0,0.389626722954482,0,0,0.0157527002704039,0,0.0199558068206192,0,0,0,0,0,0
ETH,0,0,0.479647539715341,0,-0.160348233364715,0.265927422760407,0.265540271432622,-0.915203232815481,0,0.149917229329672,1.98622725905103,0,0,0,0.350344411751597
XRP,0,0,0,0,0,0.116720417187497,0,0,0,0.0330165215806715,0,0,0,0,0
LTC,0.361762939768598,0,0,0,0,0.0146025605691158,0.000000000000000000433680868994202,0.0222068564403064,0,0,0,0,0,0,0
DASH,0.106601370105958,-0.1116824127359,0,0,0,0.137760127676428,0.118288079711853,-0.423141579687969,0,0.178649902307453,0.354674158338243,0,0,0,0.328140584293565
DOGE,0,0.0600252867832415,0,0,0,0,0,0.147121365851002,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,-0.0621784968789256,0.171792136821159,0.048751186038021,0,0.150830877029438,0.062873418353799,0,0,0,0,0.0937305484194094
XEM,0,0,0,0,0,0,0,0.183133155480601,0,0.201921733779238,0,0,0,0,0
DGB,0,0.0897125969523778,0.31362754419127,0,0.255641159196488,0,0,0.114823429272238,0.0615136225121256,0,0,0,0,0,0
BV010082.INDEX,0,0.00000000000000000010842021724855,0,0,0,0,0,-0.0249300662429556,0.00832801898206457,-0.0311438351284984,0,0,0,0,-0.0391568858781069
CVIX.INDEX,0,0,0,0,0,0,-0.000000314623398025772,0,-0.000000613505093839251,0,0,0,0,0,0.093728002819262
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112866994286875
VIX.INDEX,0,0.00580381228269612,0,0,0,0.000292009796738159,0,0.00956359059201629,-0.000472487991510485,0.00413892092940447,0,0,0,-2.60818667846962,0
