,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0449757493509244,0.07017807349643,0,0,0,0.0237587792305655,0.0913256044141715,0.00281324944833377,0,0,0,0,0,0,0,0,0
ETH,0,0,0.142960649903284,0.00251558151279623,0.0581936593990675,0,0,0.0130954759547376,0,0.0694145641581783,0,0.208077035372219,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.311160132800818,0,0,0.0666144207179102,0,0,0,0,0,0,0
BCH,0,0,0.109617232326189,0,0.148874325311959,0,0,0,0,0.0637240405134226,0,0.106806282656705,0.0657134681136536,0,0,0,0,0,0,0
EOS,0,0,0.0258009179902365,0,0,0,0,0.0379280365539128,0,0.0159936153734584,0,0.311690089595968,0.146703636791036,0,0,0,0,0,0,0
XLM,0,0,0.0929335459057038,0,0,0,0,0.210067163462404,0,0.044767180951096,0.0326106048060521,0.128085937417441,0.0024164709011151,0,0,0,0,0,0,0
LTC,0,0,0.0231263440014691,0.0433395062572413,0,0,0,0.142425937097178,0,0.165414082787684,0,0,0.0669339508381773,0,0,0,0,0,0,0
ADA,0,0,0.093807294635347,0,0.146608803178439,0.0486502470647586,0,0,0,0.00000000000000000173472347597681,0,0.278056216134939,0.172821089735595,0,0,0,0,0,0,0
XMR,0,0,0.128428811866899,0.0404911857744708,0,0,0,0,0,0.0978558670842639,0.107621751501471,0,0.125143650187884,0,0,0,0,0,0,0
MIOTA,0,0,0.0168346570717302,0,0,0,0,0,0,0,0,0.468966453112248,0.45002151570071,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0189732776327096,0,0,0,0,0.156549387249932,0,0.0230265281003931,0.275452547860165,0,0,0,0,0,0,0
TRX,0,0,0.068004798277412,0,0.101892182563475,0,0,0.254127419303824,0,0.165063271983486,0,0,0.145618681636887,0,0,0,0,0,0,0
NEO,0,0,0.0569310297584035,0,0.137774447756367,0,0,0,0,0.286415833844701,0,0.14497466402928,0,0,0,0,0,0,0,0
ETC,0,0.204332942564326,0.00185537039582465,0,0.103983000272279,0,0,0.0218469303173373,0,0.194350410330759,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0294291281884379,0,0.090853589554235,0,0,0.0171111642073583,0,0.042020854564594,0.0364066213398309,0.0197201990022751,0.149391004423662,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0269087184031592,0,0,-0.00751284428370099,-0.0281399176628577,0,-0.0242544846156294,0,0,0,0,-0.00569279676744801,0.0198900447450791,0,0,0,0,-0.0396838105483942
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00258898617017132,0,0,0,0,0,0,0.00039582808476701,0.000352378682583196,0,0,0,0,0,0.0688649286865916,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460485154821649
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
