,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0000000000000000000542101086242752,0,0,0.0162894956670403,0.0514753873244203,0,0.0496999232470951,0,0,0.0316187210169997,0,0,0,0,0,0
ETH,0,0,0,0,0,0.182193832657036,0.0000000000000000000135525271560688,0,0.0170547087565716,0.0536105375146754,0,0,0,0.0222779788063676,0.0784094395153595,0,0,0,0,0
XRP,0,0,0,0,0.0929022079211919,0,0.118343937472817,0.0874682378649485,0,0,0,0,0,0.0795360836770717,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0683860389663529,0.0358594420915026,0,0.132577161416985,0.0677085299703981,0,0.17853717967824,0,0,0.18048506939631,0,0,0,0,0
ADA,0,0,0.133229238962336,0,0,0,0.0704675858782085,0.38991236383439,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.074192367657659,0,0,0.0437220022852159,0,0,0.197640369069452,0,0,0,0.0589720969038238,0.142014422051462,0,0,0,0,0,0,0,0
XEM,0,0,0.106259988965694,0,0.0302578397626137,0.0477075477389178,0,0.24042038320394,0,0,0.0533007816714831,0,0,0,0.136488079437117,0,0,0,0,0
XLM,0,0,0.104859476409845,0,0.310704360137971,0,-0.000000000000000000433680868994202,0,0.00331352120033242,0,0.202693265707187,0,0.131226101008303,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0355868354490344,0.158762284817954,0,0,0.119359946673424,0,0.00817008862547466,0.0598959476512802,0.321797792773889,0,0,0,0,0
NEO,0,0.29674038920741,0,0.0503571684001209,0,0,0.0242827818744136,0.241208996392336,0,0,0,0,0.0262381285257588,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.13249796125483,0.157906465719561,0.118979343079592,0.109459323248943,0,0,0,0.0169841467491516,0.0374527270108288,0,0,0,0,0,0
DASH,0,0,0,0.0935653114786804,0.0235722115334668,0.120263609383965,0.0082170675739895,0,0,0.0482845380618506,0,0,0.0996870524713541,0.0966211290972356,0.0898970736108202,0,0,0,0,0
XMR,0,0,0,0,0.000000000000000000216840434497101,0,0,0.155384365819697,0.0642507310438128,0.064410453705111,0.0548817264798522,0.280306217301933,0,0,0.0552012324554287,0,0,0,0,0
TRX,0.361450946081122,0,0,0.117287830062102,0.12146562175547,0.101425003116052,0,0,0,0,0,0.17657075470923,0,0,0,0,0,0,0,0
BTG,0,0,0,0.494952086225186,0.0111949526415805,0,0.00235035431765178,0,0,0.0204779978606963,0,0,0.0264198876298702,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00557948591073827,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00267210805809261,0,0,0,0,0,0,0,0,0,0,0.00240663275928597,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000154859030774392,0,-0.00000000425305472218625,0.0000000108001423930607,-0.0000000105133524600117,0,0,0,0,0,0,-0.0159731389545251
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
