,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,LINK,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.200631322218191,0,0.146249879170892,0,0,0.121857771736418,0.0108188614618129,0,0,0,0,0,0,0.0321304806175058,0,0,0,0,0
ETH,0,0,0,0.194043063556035,0.0215806847958246,0.272389440444762,0,0,0.012095617518515,0.102527090918582,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.156315011818718,0,0,0.0616963674068474,0.189051938122597,0.0473844714070082,0,0,0,0,0,0,0,0,0
BCH,0,0.125358475963608,0,0,0.21834773441364,0,0,0.200982819772621,0,0.0502832879249046,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.340965633466151,0,0.208592927124765,0,0.000000000000000000867361737988404,0,0.0747213575573304,0.0414341662107306,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.30956693436305,0.0187015198402514,0,0,0,0,0.126173076412312,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.341001956268802,0,0,0,0.0263723185343654,0,0.192860000845617,0,0.0112131631316915,0,0,0.0144673592384528,0,0,0,0,0
BSV,0,0,0,0.616780671459738,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0256834039546885,0.45904275947881,0,0,0,0,0.0689343096167978,0,0.0635000037029479,0,0,0,0,0,0,0,0,0,0.056674274832797
TRX,0,0,0,0.16012710364133,0.0263044508298491,0.145326666371635,0,0.00471462087978647,0.072908659141082,0,0.333236512817179,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0689665387471338,0.0499883192900541,0.126532200769202,0.115562740261605,0.022459191432995,0,0.241403635487339,0,0,0,0,0,0,0,0,0,0
XMR,0.0952542154395324,0,0,0.227540816111143,0.116278439350818,0,0.00384805691349186,0.113533537640793,0.0867618170220985,-0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0
LEO,0.0590890601524475,0,0,0,0.0736228931128403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169199107902056
LINK,0,0,0,0,0,0,0,-0.0512667617376789,0,0.30856291299338,0,0,0,0,0,-0.177090613543388,0,0,0,0.106127636867116
HT,0,0.0540685171787252,0,0.0830479042558478,0,0.0591926036287584,0,0,0.00545514894285789,0.037578230663378,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00829194459743418,0,0,0,0,0,0,0,0,0,0,-0.170518283575674
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859282456621343
VIX.INDEX,-0.0000137731858472217,0,0,0.00000966595401468135,0,0,-0.0000041459605940215,0,-0.00000172336379961969,0,0,0,0,0.00000292137732578892,0,-0.0522952434710954,0,0,-4.84284939193308,0
