,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.51100724657565,0,0,0,0.0570035245502797,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.087950766850217,0,0.0736868383824368,0,0.0240345413495306,0.0047874973933878,0,0,0,0,0
LTC,0.448647613493451,0,0,0,0.0129472306555692,0,0,0.00606643933854731,0,0.00707580755428144,0,0,0,0,0
DOGE,0,0.0638635907613427,0,0.771344238272824,0,0,0.163154448314905,0,0.00141507017735002,0,0,0,0,0,0
DASH,0,-0.228294311603719,0,0,-0.0413010694913502,0,0,0,0,0.130197114183184,0,0,0,0,0
XLM,0,0,0.140340469188219,0,0.173940671100482,0,0,0,0.029550760262109,0.0596143348255488,0,0,0,0,0
XMR,0.631887808093897,0.0256871950534928,0,0,0.00552872719126096,-0.13686573965214,0.143610458486629,0,0,0.0560561061627721,0,0,0,0,0
XEM,0,-0.065120449510244,0,0,0,0.289456544507196,0.429735785331908,0,0,0.0566390780600121,0,0,0,0,0
DGB,0.439851815176688,0,0,0,0,0,0.459888515216693,0,0,0,0,0,0,0,0.100679080695164
BV010082.INDEX,0,0,0,0,0,0,-0.00225712747760504,0,0.000327673296214631,0,0,0,0,0,-0.0503154491499744
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000555290913105409,0.000000575405365985475,0,0,0,0,0.0469891028138516
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000359042738307682,0,0,0,0,-0.112870426835258
VIX.INDEX,0,-0.0144988695937613,0,0,0.0325278923884331,0.0012476529830914,0,0,0,0.0196025340066879,0,0,0,-3.52550563174102,0
