,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.000228848713470393,0,0,0,0.0789774922928725,0,0,0,0.000976735896278436,0.150227219787031,0,0,0.0679028339088942,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.201512897324607,0.122039053265889,0,0.000267711642427522,0,0.0163549512030701,0.239521893914315,0,0,0,0,0,0,0,0,0
XRP,0,0,0.101998476228878,0,0.0257749146381494,0.129244370493196,0,0,0,0,0.0789518846533646,0,0,0.111304080885112,0,0,0,0,0,0.00634458203564187
BCH,0,0,0.0693393876633578,0,0,0.424428875527739,0,0,0.0292782729197692,0,0.105963547253764,0,0,0.128247962016284,0,0,0,0,0,0
BSV,0,-0.000353288816645176,0,0,0.629395422636612,0,0,0,0,0,0.054629379820514,0,0.000453946805582141,0,0,0,0,0,0,0
LTC,0,0.00151792246221046,0,0,0,0.0516921047905331,0,0,0,0,0.219474915773742,0,0.0228507052467857,0.103368952769282,0,0,0,0,0,0
BNB,0,-0.00207140623770131,0.353075345516939,0,0,0,0,0,0,0,0.144177059277457,0,0,0.0495793269365132,0,0,0,0,0,0
EOS,0,-0.00106469040464737,0,0,0,0.148254507065609,0,0,0,0.0097442303392225,0.161717779864676,0,0,0.0773499838333466,0,0,0,0,0,0
TAGZ5,0,0.00233696942244544,0.399957863377873,0,0.0463557387675172,0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172066784896161
XTZ,0,0.0013251046569592,0.379201064153869,0,0,0,0,0,0,0.0184517999034183,0,0,0.477129405027202,0,0,0,0,0,0,0
XLM,0,0.00155027083984976,0,0,0,0.182843039341034,0,0,0,0,0.17687207877915,0,0,0.277072272025336,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.62543217888975,0,0,0,0,0,0,0,0,0
ADA,0,-0.000819814803742029,0,0,0.126158823711806,0,0,0.0612920322476172,0,0,0.304814992112468,0,0.0618519630117369,0,0.0752427015372729,0,0,0,0,0
XMR,0,0,0,0,0,0.0134881440704052,0,0.116862588412188,0,0.0243884781846025,0.186482623338649,0,0,0.17226987184783,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.025638826080882,0,0,0,-0.102641929707707,0,0,-0.0246769426944081
CVIX.INDEX,0,-0.000000592733394551909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134808291785673
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.000000253001342964628,0,0,0,0,0,0,0,0,0,-0.0133831016859831
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.0000000604371751755324,0,0,0,0,0,0,-0.0419441892949588,0,0,-0.255984857311654
VIX.INDEX,0,0.00000147525109389002,0,0,0,-0.00000789568910498485,0,0,0,0,0,0,0,0,0,0,0.125023823256451,0,-1.43180371325901,0
