,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0317323657328506,0,0,0.133170865133173,0,0.0993537678528628,0,0,0,0,0.123337382675816,0,0,0,0,0
ETH,0,0,0.0902856397169244,0,0.315967128341471,0.118874140508873,0,0.0262106427697644,0.0849750207267853,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.301056651897576,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0376897049870973,0,0,0,0,0,0.127415859341867,0,0,0,0.012994651819207,0,0.114385082712275,0,0,-0.0817441629660367
XMR,0,0.346979429809716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0.0384127423378561,0.390251413166202,0,0,0,0,0,0.00210683711275182,0.0561385908783155,0,0,0,0,0,0,0,0,0
LTC,0.0659557970623032,0.0485736267357609,0,0,0.0365181448513346,0,0,0,0.0203271689750332,0,0.0650503605403233,0,-0.028756745113485,0,0,0,0,0
XEM,0,0,0.176548711954037,0,0,0,0,0,0.0121081323148422,0,0,0,0,0,-0.33869811392022,0,0,0
ZEC,0,0,0.300986369292064,0,0.0102503034642193,0.260298890114708,0,0.0485708015017767,0,0,0,0,0,0,0,0,0,0
DOGE,0.126111087929247,0.0213514925135118,0,0.0124662623527909,0.0104952531530512,0.120891800783763,0,0.0200045545444182,0.0612688874081289,0,0,0,0.0413471553488466,0,0,0,0,0
XLM,0,0.0404319706172092,0,0,0,0.0519434578018003,0,0,0,0,0,0,0.0879258142362655,0,0,0,0,0
NEO,0,0,0.214413922821607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.542121885854174,0,0,-0.131764098621933,0,0.0581690781321518,-0.324930798320059,0,0.00000000000000000173472347597681,0.664286890304854,0.13849939008904,0.127538082241263,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0618403389213427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.0000000204707361723368,0,0.0000000284596120084373,0,0,0,0,0,0,-0.0329266061938252
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
