,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,XMR,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.149761950805625,0.0122552060124014,0.0650350110115775,0.0698254562395464,0,0,0,0.00346925249224921,0,0.0291635664817362,0.0217106442008398,0,0,0,0,0,0
ETH,0,0,0,0.228155823252031,0.0017121373850607,0,0,0,0,0,0.016154749082663,0,0.217946439956965,0,0,0,0,0,0,0
XRP,0,0,0,0.037160882625769,0.0237445510579918,0.127155520567894,0.0364889649817068,0,0,0,0,0,0.344356761497615,0,0,0,0,0,0,0
BCH,0,0,0,0,0.262352489353875,0.117099209793905,0.0486489536545622,0,0,0,0,0,0.101412003088203,0,0,0,0,0,0,0
BSV,0,0,0,0.559208248754542,0,0,0.296028816995318,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.306122017181595,0.0249415498296668,0,0.24521635997514,0,0,0,0.0366160028435317,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0357097282656354,0.124329921263304,0.264028919741474,0,0,0,0,0,0.0229028523305965,0.135685309033431,0.136487548076139,0,0,0,0,0,0
BNB,0,0,0,0.14019128402088,0,0,0.0747629825200034,0,0.035218119473126,0,0,0,0.259396281155443,0,0,0,0,0,0,-0.0232586974115307
XTZ,0,0,0,0,0.00258760321812173,0,0,0,0,0.192042759368035,0,0,0.0838933349041972,0.114956721625864,0,0,0,0,0,-0.00230768164793203
LINK,0,0,0,0,0,0.163575644090399,0,0,0.16089727782462,0,0.089202715121353,0,0,-0.000000000000000000216840434497101,0.187540660489626,0,0,0,0,0
ADA,0,0,0,0.166978493930223,0,0,0.100910268573567,0,0.048530117368818,0,0,0,0.147907431213221,0,0,0,0,0,0,0
XLM,0,0.127543720820885,0.283324197152185,0,0,0,0,0,0,0,0.087545823718585,0,0,0.0921097986895729,0,0,0,0,0,-0.0820759294874362
TRX,0,0,0,0.221312678377865,0,0,0.105069014231625,0,0,0,0.135702130422131,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0386235580867164,0,0.181106381023954,0,0,0.0717153505658589,0.0363309671139999,0.276383366583506,0.0738073183870886,0,0,0,0,0,0,0,0
HT,0,0,0,0.0217522188850514,0.013766320304932,0,0,0.179562628461351,0.0000000000000000000542101086242752,0.162876537776959,0,0,0.0712266395932568,0.035700073674039,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149680076192778
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134805766383714
DXY.INDEX,0,0,0,0,-0.0000833739648136424,0,0,0,-0.0000261223725679762,0,0,0,0,0,0,0.0106402578874279,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000900866791083291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0884210507227318
VIX.INDEX,0,0,0,0,-0.00598468602253322,0,0,0,0.00116284145240913,-0.00548907654793358,0,0,0,0,0,-0.461450645194112,0,0,0,0
