,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.379589236207741,0,0,0,0,0.20437702159804,0,0,0,0,0,0,-0.00781060157154421
XRP,0.113701429742144,0,0,0,0,0.273936514636736,0.142007315682209,0,0,0,0,0,0,0,0
LTC,0.506790443389615,0,0,0,0,0,0,0,0.0231511538339316,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0840735518655074,0,0.114814812653018,-0.149507454989037,0.299774647933177,0,0,0,0,0
DOGE,0,0,0.463864120506017,0.0147460414230166,0,-0.00000000000000000173472347597681,0,0,0.0414142090802588,0.0379878877843304,0,0,0,0,0
DASH,0,0.0850401435779768,0.111579260196285,0,0.424608739972825,0,0,0.029508717382446,0.0304346245873107,-0.0929581149830985,0,0,0,0,0.0156698435716362
XLM,0,0.222771605830565,0.127560498895449,-0.0406372738128573,0,0,0,0,0,0.0375501825533173,0,0,0,0,0
XMR,0.548500817836877,0,0,0.0423285187172723,0,0,0,0,-0.110338456760618,0.0191814582596903,0,-0.0318663933309055,0,0,0
XEM,0,0.125128003134148,0.381750541797066,0,0.272128540654681,0,0,-0.200890827870144,0,0.122589846140689,0,0,0,0,0
DGB,0.127144362436379,0,0,0.229177759906424,0.375794555498742,0,0.152758969991124,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0109064147912064,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00148419942740052,0.00200722143411022,0,0,0,0.00144173165614392,0.000143389613863647,-0.00220239229580873,0,0.0641979876805899,0,0,-0.0233889108536317
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000331947467640263,0,0,0,0,0,-0.0673088412325388
VIX.INDEX,0,0.0413767723862734,-0.0547317256922695,0,0,0,0,-0.0238809852640693,-0.000000000000000000000211758236813575,0.00137129340447631,0,0,0,-4.34187634826855,0
