,BTC,ETH,STO,XRP,BCH,LTC,INNBCL,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.113136328477068,0.11306344885799,-0.0000767070091422391,0,0.0379203993776507,0.0479316381142342,0,0,0,0,0.0352195967694205,0,0,0,0,0
ETH,0,0,-0.00931262084427209,0,0.226285788860697,0,0,0,0,0,0.00814373141518624,0,0,0.0182796323972562,0.205524166887749,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.230111437264836,0,0,0.0306078954252795,0.145098098919147,0.00126531060697313,0,0,0,0,0,0,0,0.179495130679831,0,0,0,0,0
BCH,0,0,0,0,0,0.0679566560449319,0,0.204312537927552,0,0,-0.000000000000000000867361737988404,0,0,0,0.333181326864462,0,0,0,0,0
LTC,0,0.166849263723558,0,0,0.286933510659579,0,-0.00296223926018734,0,0,0,0,0,0,0,0.169763147010215,0,0,0,0,0
INNBCL,0,2.81935565039586,0.317367273014493,0,0,0,0,-3.33691376504305,0,0,0,0,0,1.74809757540554,0,0,0,0,0,0
BSV,0,0,-0.0135891444200204,0,0.436060601740319,0,-0.00949328999838097,0,0.164599853317534,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.00208438410661259,0,0.165999274512771,0.131862832278473,-0.000440179805401512,0.0570714150764406,0,0.0396810715464992,0,0,0,0,0.0849796831018472,0,0,0,0,0
BNB,0,0.0246281762221432,0,0,0.15753201746464,0,-0.000866621462629121,0,0.053849180518851,0,0.0660670613518835,0,0,0,0.198544765350156,0,0,0,0,0
XTZ,0,0.641841043352575,-0.00556748771119534,0,0,0,-0.013014391729378,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.00169275355570936,0,0,0.0349530217284394,0.00628905838552017,0,0,-0.0994230621410375,0,0,0,0,0,0.00286821675246305
XLM,0,0,0,0,0.134457750833079,0,0.00698147018513673,0,0,0,0.0145391925299937,0,0,0,0.19794841127063,0,0,0,0,0
TAGZ5,0,0.164534942358704,0.027675585222563,0,0.127449041487995,0,-0.00111995217728197,0,0,0,0,0,0,0,0.0935073916823726,0,0,0,0,0
TRX,0,0.267264255590513,0,0,0.188476389554888,0.0959291244611187,-0.000808957273774944,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00150160796858828,0,0,0,-0.000131980143754268,0,0,0,0,0,0,0,0,0,0,0,0,-0.16564129019415
CVIX.INDEX,0,0,0,0,0,0,-0.00000289388761332513,0,0,0,0,0,0,0,0,0,0,0,0,0.1144464024738
DXY.INDEX,0,0,0.0000000718780267977696,0,0,0,0.0000000423829244508339,0,0,0,0,0,0,0,0,0,0,0,0,-0.00883076564482451
SPX.INDEX,0,0,0,0,0,0,0.000000114246993787912,0,0,0,0,0,0,0,0,0,0,0,0,-0.064631398696621
VIX.INDEX,0,0,0.158102737984003,0,0,0,-0.000633983805653385,0,0,0,0,0,0,0,0,-0.102375650868675,0.149825466099883,0,-0.714626735533545,0
