,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0301665159653764,0.291009216572736,0,0,0.0477664070159686,0,0,0,-0.023818201673099,0,0,0,0,0
ETH,0,0,0,0,0.827384052633849,0,0.0372388058255432,0.112692673312323,0,0.0889805789009658,0,0,0,0,0.0410257057762535
LTC,0.663266754513324,-0.0245108232783039,0,0,0,0,0,-0.0624690414464919,0,-0.00458029681618849,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,-0.0370764191670129,0,0,0,0,0.041140807979737
DASH,0,0.067139558131567,0,0,0,0,0,0,0,0.052235299958404,0,0,0,0,0.0522673594323949
DOGE,0.215989888760139,0,-0.000000000000000000216840434497101,0.121034965187227,0,0,0,0,0.241188036624991,-0.000000000000000000867361737988404,0,-0.117890148166954,0,0,0
XEM,0,0,0,0,0,0,0,0.292167535276915,0,0,0,0,0,0,0
XMR,0,0.074859238109266,0,0,0,0.105290262655542,0.3622464913651,0,0.583063362569384,0,0,0,0,0,-0.137798754292227
XLM,0.0223656403421619,0.00333102960363338,0,0,0,0.12790716779589,0.120148321570297,0.138303398909807,0,-0.0133772043171667,0,0,0,0,0.026825846411517
DGB,-0.181036953156024,0.0146098968558347,-0.15378408633361,-0.158226064825188,0.309504699486046,0,0.169250777806995,0.0783857876068187,0,0,0,0,0,0,-0.0607810629535879
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0613660254039016
CVIX.INDEX,0,0,0,0.000000328761549355676,0,0,0,0,0,0,0,0,0,0,0.117907950213383
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522196662818654
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.000000000000000000000211758236813575,0,0.445954245490053,0,0,0
