,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.138264198415478,0.0127024268935068,0.0545218842266463,0.0327835489377285,0,0,0.0239782685217953,0,0,0,0,0
XRP,0,0,0.0468416762491732,0,0,0,0,0,0,0,0,0,0,0
LTC,0.443570050240954,0,0,0.0586509601123348,0,0,0,0.0442980466170943,0.0315960759608244,0,0,0,0,0.0171008278458271
DOGE,0,0,0.174111421834008,0,0.221530719443861,0,0,0.114578924862172,0,0,0,0,0,0
XLM,0,0.0957011984990847,0.0943372009528376,0.134630994669821,0,0.161076838578022,0,0,0,0,0,0,0,0
DASH,0,0.0756258631451017,0.097571385571334,0.0512687096825782,0.16266272277396,0,0.0332266327009307,-0.0969580102022046,0,0,0,0,0,-0.0365331960024014
XMR,0.0916021257682172,0,0,0,0,0,0,-0.154200049526015,0.283304267762139,0,-0.387143148568353,0,0,-0.0494309989255952
XEM,0,0,0.116476484340301,0.220624186849143,0,0,0,0,0,0,0,0,0,0.10027287084029
DGB,0,0,0.0893101068193338,0,0,0,0.0533343925164003,0,0,0,0,0,0,0.127217196296358
BV010082.INDEX,0,0,-0.00428634934439378,0.0177386099832061,0,0,0,0,0.00300307413639303,0,0.177638244256912,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000000269513480352184,0,0,0,0,0,0,0,0,0.127288893283511,0,0,-0.0072538478235758
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699979589097111
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
