,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0152096285155362,0,0.466446908273745,0,0,0.0344044431301996,0.0329230829636202,0.0833414141779873,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0819503728091484,0,0.087116298682102,0,0,0,0.407726056597786,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.448510781268205,0,0,0,0.00000000000000000010842021724855,0,0.00560106906802985,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.102564553692965,0,0,-0.00582520372108597,0,0,0,0,0.0759910461678601,0,0,0,0,0,-0.0564738085585181
XEM,0.26600257573953,0.0451080414421355,0,0,-0.019856879727264,0,0,0,0,0.277285521014401,0,0,0,0,0,0
DOGE,0.0989060913207603,0.0145321051813117,0,0.0564510742692171,-0.00677687050698957,0,0.0804986779635582,0,0,0,0.0213223419611377,0,0,0,0,0
XMR,0.422487491474002,0,0,0,-0.0064984337031288,0,0,0.0361901637344684,0,0,0,0,0,0,0,0
XLM,0,0,0,0.117259380387619,-0.00921920379975105,0,0.180355234119289,0,0,0,0,0,0,0,0,0.0276904707444382
DGB,0,0.226894889038419,0,0.257298287231858,0.0092832865113186,0,0.0724025682814577,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0012178458491613,0,0,0.0154066939925059,0,0,0,0,0,0,0,0,0,0,-0.0608660895624063
CVIX.INDEX,0,0,0,0,-0.00000135790227882816,0,0,0,0,0,0,0,0,0,0,0.123569865156443
DXY.INDEX,0,0,0,0,-0.000000331071941797676,0,0,0,0,0,0,0,0.0203210810909703,0,0,0
SPX.INDEX,0,0,0,0,0.00000000000000000000000330872245021211,0,0,0,0,0,-0.000000190883737441025,0,0,0,0,-0.0456989048230031
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
