,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108919408044121,0,0,0,0.109179245945032,0.0449721934689617,0,0,0.0574065208327032,0,0,0.00671716892139005,0,0,0,0,0
ETH,0,0,0,0.303910523029154,0.0461788931438839,0,0,0.0408160160005517,0.086854528406225,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.244161019369579,0.0946866147142467,0,0,0,0.176548145802171,0.0157285787328905,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.283648589080965,0,0,0.184376111365353,0.0735870957040405,0.184132044473365,0,0,0,0.0328923906924744,0,0,0,0,0,0
EOS,0,0,0,0.381629720163338,0,0,0,0.0910245565275,0.145761257268707,0,0.0129530095929653,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.637514904265166,0,0,0,0,0,0,0.00642953057699001,0,0,0,0,0
LTC,0,0,0,0.352438007591861,0.0413184336485991,0,0,0,0.101100404736462,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.144701854897748,0.150215202775037,0.115096942514715,0,0,0.0792578392497086,0.0706383540856197,0,0,0,0,0.134397474826165,0,0,0,0,0
MIOTA,0,0,0,0.162471542191964,0.115588393635495,0,0,0.0155105571378513,0,0,0.482167380029646,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0957725950719684,0.196191228538691,0,0,0.242733067832818,0,0,0.0129549635817819,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.200524419016293,0.094599786773147,0,0,0.000000000000000000867361737988404,0.336041385260555,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.400250879680191,0,0,0,0,0,0,0.285482637998799,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.14796413691154,0,0.105650966695213,0,0.101926610582797,0,0,0,0,0,0,0.0260106978021523,0,0,0,0,0
ETC,0,0,0,0.363661053071113,0,0,0,0,0.0884603803591138,0,0,0.0466336583047567,0,0,0,0,0,0,0,0
XEM,0,0,0,0.104687965016695,0.128944915865452,0,0,0.322521906134383,0.0483824744626105,0,0.0283269396321842,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713109567894735
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497081798440899
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
