,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.0200426515336321,0.0677405226467118,0,0,0,0.0883876306417683,0.0465635153594171,0.112870280904875,0,0,0,0,0
ETH,0,0,0,0,0,0.198325494778517,0.113757728265955,0,0.0865743253651173,0,0,0,0,0.0593662105442041,0.0487857253710101,0,0,0,0,0
XRP,0,0,0,0,0.038177532451711,0,0,0.148779090690976,0.0834903264269474,0.128982752211423,0,0,0,0.107156938113441,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0338528353466811,0.0157088204376807,0,0.168337759055539,0.0738891484436612,0,0.275542515591755,0,0,0,0,0,0,0,0
ADA,0,0,0.00152062797379889,0,0,0,0,0.327158350290095,0.0592442858235441,0.0981249477261628,0,0,0,0.0306611867600163,0,0,0,0,0,0
LTC,0.120650831571543,0,0,0.129934809378543,0,0,0,0,0.0185616598473474,0.183792480233438,0.0589195314953266,0.064835289352713,0,0.00628038719403752,0,0,0,0,0,0
NEO,0,0.0840834485543798,0,0,0.0677317873957793,0,0,0.0879583155549969,0,0.0319373561583576,0,0,0.211842890315579,0,0,0,0,0,0,0
XLM,0,0,0.125821030134656,0,0.281186180261687,0,0,0,0.0587209959912906,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0371258573810438,0.134587367356531,0,0,0,0,0,0.0634917854457141,0,0,0.0921202249267545,0.093585645509155,0.0540455760720553,0,0,0,0,0
XEM,0,0,0.0250968625151087,0.11093880244527,0.120885915979389,0.103046172515682,0,0.294049531830244,0.060268309315372,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0473855381116913,0,0,0.0445239383657347,0.157239010541809,0,0,0,0,0.265478122166255,0,0,0,0,0
DASH,0,0,0,0.209314868808335,0.0315368516954341,0.03624386429432,0,0,0,0,0,0,0,0.0878487363397502,0.021568189120982,0,0,0,0,0
XMR,0,0,0,0.0382503119291828,0.0183393920312178,0,0.152056196713623,0.0650104647846307,0.0411003996530009,0,0,0.261413833270788,0,0,0.0492313401381276,0,0,0,0,0
TRX,0.281267988864542,0,0.15541914909597,0.138602151329095,0,0.229389359188564,0,0,0.0584776727378159,0,0,0.166075869221474,0,0,0,0,0,0,0,0
ETC,0,0,0,0.168466890097139,0.016328633311452,0,0,0,0.027271587838132,0.0900143479492133,0,0.139989824826482,0.00200932483074772,0.0684107535567938,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00775973930968951,0,0,0,0,0.00061488356293485,0,0,0,0,0,-0.0270015983571613
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00268458647930762,0,0,0,0,-0.000213562672842894,0,0,0,0,0,0.00234783138986124,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000337183187969492,0,0,0,0,0,0,0,0,0.000224609637841778,0,0,0,0,0,-0.0304047261249485
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
