,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,TRX,XLM,XMR,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0695091070973518,0.0406301796720318,0.131163458393014,0,0.036628649096261,0,0.0114926612382838,-0.0000000000000000000135525271560688,0,0,0.0352017883615549,0,0,0,0,0,0
ETH,0,0,0.0287822916226731,0.163305953088863,0.00758020304349442,0.0320787193480804,0,0.0365869985708238,0.0129197147278603,0.0829317998445264,0.158855464682646,0,0.00261869428402551,0,0,0,0,0,0,0
XRP,0,0.330330913117389,0,0.0511253828290435,0.0249633840594255,0,0,0,0,0.0496899780780086,0.0317483718677443,0,0,0,0,0,0,0,0,0
BCH,0,0.0348931943399152,0,0,0.221253548900361,0.0816223108941097,0.0186775804311374,0,0,0,0.217431040636614,0,0,0,0.116052596418337,0,0,0,0,0
BSV,0,0,0,0.514398823647498,0,0,0.206791408190583,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.286504461232782,0.0533463884196408,0,0.0644784625069885,0,0,0,0.0737200486037148,0,0,0.119308348383518,0.0268218534966738,0,0,0,0,0
EOS,0,0,0,0.132719541636858,0.115552320275967,0.096030945828443,0,0,0,0.0218134902137536,0,0,0.0415672910652924,0,0.00846279292382539,0,0,0,0,0
BNB,0,0,0,0.140637892713229,0.0166329921506244,0.0475462288786616,0,0,0,0,0.191835285848604,0,0,0.0322109530675511,0,0,0,0,0,0
XTZ,0,0.18607657273461,0,0,0,0,0,0,0,0,0.00000000000000000693889390390723,0,0.13429427462529,0.273833790509761,-0.0205311930637933,0,0,0,0,0
ADA,0,0.0988255866770903,0,0.00387938596628408,0.0261237214241806,0.10526338711827,0,0,0,0,0.175193750986784,0,0,0.010260181173705,0.141526912250286,0,0,0,0,0
TRX,0,0.125298843841982,0,0.138733769889921,0.0220980803973232,0.0542701847455926,0,0,0,0.125176499258545,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.457412304788695,0.0460461354978919,0,0,0,0,0,0,0,0,0,0.143532542766385,0,0,0,0,0,0
XMR,0,0.054108188078914,0,0.0764088082279963,0,0.0881570556250025,0,0,0,0.230262358531584,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0371764593298704,0,0.289353330541973,0,0,0.110813976055834,0.0453781081625797,0.0742082464799038,0.221501008175251,0,0,0,0,0,0,0,0
ETC,0,0,0,0.453542903503754,0.0891207941645226,0,0,0,0,0.0984206926499715,0,0,0,0,0,0,0,0,0,0.0345189023243802
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000000000000000151788304147971,0,0,0,0,-0.110996996931998
CVIX.INDEX,0,0,0,0,0.00549742642928707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139804688056875
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00317244410091621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634230850949027
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
