,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,XMR,TRX,XTZ,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.134974357135006,0,0,0.166329703755497,0.0620636944543676,0,0,0,0.0421137022605396,0,0.00452303142862828,0,0,0,0,0,0
ETH,0,0,0,0.118250954875337,0.0205126836565223,0,0.174779458716991,0,0,0.0194897652788727,0,0,0,0.0479490897271752,0,0,0,0,0,0
XRP,0,0,0,0.0524968202707549,0.0373461573901017,0,0.154096358843775,0,0,0.0797398294888556,0,0.0619608553653602,0,0.0125666978506579,0,0,0,0,0,0
BCH,0,0,0,0,0.263770224511195,0,0.122251997632931,0,0,0,0,0.00361178395351309,0,0.0540064055889448,0,0,0,0,0,0
BSV,0,0,0,0.529306298924861,0,0,0.219079490451653,0,0,0,0,0,0,0,0.0250095554072074,0,0,0,0,0
LTC,0,0,0,0.20811317260105,0.0412466749784156,0,0.286540165197515,0,0,0,0,0,0,0.0404337923571732,0,0,0,0,0,0
EOS,0,0.0679754962549226,0,0,0.100364977574128,0.335600340850552,0,0.0499515884401492,0,0,0,0.0670050051272887,0,0.0163057756964968,0.0216988826325226,0,0,0,0,0
BNB,0,0,0,0.021401406743275,0,0,0.272168926062219,0,0,0,0,0.0442131290818667,0,0.0922361060687343,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.14025262922643,0,0,0.173115036501535,0,0.0118850181827154,0,0.116930702787316,0.0111071895163611,0,0,0,0,0
ADA,0,0,0,0,0.0502229079000137,0,0.102030070616513,0.110525877529335,0,0,0,0.225017548406816,0.00464606044909417,0.0564064193887802,0,0,0,0,0,0
XMR,0,0,0,0.093393311497658,0,0,0,0.265378628004054,0,0,0,0,0,0.111832245435743,0.0107290590032825,0,0,0,0,-0.0557312355814209
TRX,0,0,0,0.0669565450175456,0.0115285544803037,0,0.220696488848822,0.124021277030537,0,0.172355831833645,0,0,0,0.0328446552395874,0.0201255108081837,0,0,0,0,0
XTZ,0,0,0.251378617994187,0,0,0,0,0,0,0.0675528568466622,0,0,0,0.0131684311924801,0,0,0,0,0,-0.0372066933594965
DASH,0,0,0,0,0.223350499715984,0.192770661782553,0,0.239025823964364,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.0783395926871898,0,0.0645874377504408,0,0,0,0,0.091757716867233,0,0.326703791063101,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00657058608110903,0,0,0,0,0,0,0,0,-0.0128609638752714,-0.00145660969058108,0,0,0,0,-0.0689523890690622
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00520094052217742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247085522795273
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
