,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0196609840386561,0,0.123163708432467,0.0126201857560374,0,0,0.0505243029234792,0.0728254305202618,0.023779299326009,0,0.0331531975118849,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0977726940985223,0.0531985125058271,0,0,0.142838605637815,0.0696517003359862,0.0556718342783435,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0892408005699522,0.131266029702134,0,0,0.0696957007440495,0.13541712770486,0.110111798918095,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.130745361453268,0,0.152128691488452,0,0.219238820743709,0,0.0746555912092793,0,0,0,0.059218646665746,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.395429132231558,0,0.233622447906974,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.336105452043577,0.0355519985682362,0,0,0,0.0578460116508809,0.0294791147478043,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.144528774159949,0,0,0.287163047249508,0,0.0526720232613187,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.193835086585036,0.124362078995492,0,0.13634491214929,0,0.0639476954604775,0.115412008618546,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.124828949992236,0,0,0,0,0.18349227750821,0.187730982505583,0,0,0.253075760605288,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.188066174613309,0,0.20569818967982,0.222536801260635,0,0,0.10981830531803,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0584473537367064,0.146987298836838,0,0,0.155145653305088,0.106453741282743,0.0450926794684749,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.127449773350553,0.148894127958739,0,0,0.0864079589736902,0.0575715895768752,0.0406654994092774,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0297582393912491,0,0.107496339566414,0,0,0.164677905001082,0,0.0212785051445618,0,0.0352593845452179,0.0951605575983108,0,0,0.099612836796168,0,0,0,0,0
BNB,0,0,0,0,0.0501191747262491,0,0,0.18439746499555,0.0937644046165617,0,0,0,0,0,0.217004240001515,0,0,0,0,0
ETC,0,0,0,0.15817163530022,0,0,0,0.00297784299350503,0.179855281809042,0.145464651444826,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.000000000000000830065183254902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081612405466328
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469415543315173
VIX.INDEX,0,0,0,0,-0.0641430636779617,0,-0.0831324864806465,0,0.0106084085625657,0.0221238863528214,0.0831263266310549,0.00992589292505245,0,-0.0630197686060135,0,-0.965411697862052,0.410515689170914,0,0,0
