,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0413582356732011,0,0.069017031490161,0,0,0,0,0,0.0206783928598519,0,0.0134799906673266,0,0,0,0,0,0,0,0
XRP,0,0,0.290228929149011,0,0,0,0,0,0,0,0,0.358999081360575,0,0,0,0,0,0,0,0
ETH,0,0.127065751036099,0,0.144621237158447,0,0,0,0.110277712407275,0,0.0218772331361119,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0249117682886401,0.432746314731038,0,0,0,0,0,0,0.0594351231156187,0,0.162882767033653,0,0,0,0,0,0,0,0
XLM,0,0.13938186171075,0,0,0,0,0,0.59737371759771,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.14293072694466,0,0.173604563667088,0,0,0,0.0400976887892092,0,0.0243491576525961,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0161265260489145,0,0.0848143880047669,0,0,0,0.193161887110131,0,0,0,0.195685876439601,0,0,0,0,0,0,0,0
ADA,0,0.0613534669182685,0,0.186442392470717,0.415103330751997,0,0,0,0,0.0580813332566589,0,0.0444116344664415,0,0,0,0,0,0,0,0
XMR,0,0.124569318405219,0,0.0731199382020745,0.00950785371332828,0,0,0.0354530677230364,0,0,0,0.21037850977352,0,0,0,0,0,0,0,0
TRX,0,0.0409157266799046,0.338160062886967,0.0350128969664075,0.00156515519119867,0,0,0.311073038262637,0,0,0,0.0884780585156548,0,0,0,0,0,0,0,-0.0059025409016331
DASH,0,0.0805117727700043,0.133612707544213,0.00765893930078182,0,0,0,0.0253342885010595,0,0.0352026641708297,0,0,0,0.0594975813626458,0,0,0,0,0,0
MIOTA,0,0.122714473699069,0,0.229968979765366,0,0,0,0,0,0.101352137817673,0,0,0,0.142928254464352,0,0,0,0,0,0
BNB,0,0.0184497442851771,0.0859815583644455,0.0376617681245536,0,0,0,0.0196840266025038,0,0.129034357126851,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0809517519205123,0,0.0763903059712506,0,0,0,0.0139656775278235,0,0.190163633655327,0,0.0484860179032721,0,0,0,0,0,0,0,0
ETC,0,0.0131410507106249,0,0.109501908969677,0,0,0,0.191712108436175,0,0.0308580608958034,0,0.0431529222801569,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0.0123700458906054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481163359510388
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887755510870521
VIX.INDEX,0,0,0,0,-0.00000233551393441307,0,0.00000323270682990773,0,0,0,0,0,0,0,0,0,0,0,-4.05634832564094,0
