,BTC,ETH,XRP,LTC,ETC,XEM,MIOTA,DASH,XMR,ZEC,DOGE,XLM,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0988658278606816,0.0253059136030583,0,0,0,0.0516885082571812,0.0289695454706438,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.050011643046692,0,0.0889674453588692,0,0,0,0,0.160533002004003,0,0,-0.000000000000000000433680868994202,0,0.00262721764611907,0,0,0,0,0
XRP,0,-0.0676403089607199,0,0,-0.123311526707143,0,0,0,0,0,0,0.424567118784641,0,0.00663527239658645,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0836966944432039,0,0,0.183988131737667,0,0,0.0510050487443988,0.158061686880936,-0.0154854769651248,0,0,0,0,0,0
ETC,0,0.559906653336631,-0.0232972738455754,0.0210804326020835,0,0.097871200472638,0,0,0,0,0,0,0.0709189676181333,0,0,0,0,0,0,0
XEM,0,0,0.0916973804595049,0.180152462415428,0,0,0,0,0.0401709221794995,0,0.199439507106653,0.0647601095184834,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.074066639983427,0,0,0,0.260759014815058,0,0,0.0108309655933281,0.051672129393581,0,0,0,0,0,0,0
XMR,0,0,0,0.0759866180302956,0,0.0878079623016213,0,0.274366321529854,0,0,0,0.106372034471139,0,0,0,0,0,0,0,0
ZEC,0,0.270419070534553,0.0563802219552186,0,0,0,0,0,0,0,0.0722022115136,0,0.00857660694011004,0,0,0,0,0,0,0
DOGE,0,0,0,0.113427714667978,0.0215263284572229,0.244076208592716,0,0,0,0,0,0.0575034970760876,0,0.107389620612979,0,0,0,0,0,0
XLM,0,0,0.481164146637816,0,0,0,0,0,0.155147714005844,0,0,0,0,0.0504967475944823,0,0,0,0,0,0
NEO,0,0,0.147134886630607,0.360344733593807,0.61958901835561,0,0,0.0306839433121967,0,0.123790463509377,0,0,0,0,0,0,0,0,0,-0.167969107447796
DGB,0,0,0,0,0,0,0,0,0.176717475427313,0,0.230577845203291,0.402151190016317,0,0,0.0473845085830336,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0044725196915388,0,0,0,0,0,0,0,0,0,0.00900585494441405,0.00102434439216036,-0.000175787840164647,0,0,0,0,-0.0669227572261682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00225316375182859,0,0,0,0,0,0,0,0,0,-0.000105442268215762,0.000190699397631463,-0.00277294150099982,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000235553016500206,0,0,0,0,0,-0.0158684986504703
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
