,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.148194399799777,0,0.0565585018032717,0.0314156557630472,0,-0.100871688071532,-0.0521564208894128,0,0.0304353651775819,0.158379611791393,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.195937357912617,0.0089451353894765,0,0,0,0,0,0.0104447598741059,0.0624506246883726,0,0.113154151222187,0,0,0,0,0
BCH,-0.0621921315093366,0,0,0.0966021470634982,0,-0.0643151187076208,0,0.124346705041561,0.0485967338590117,0,0.148230659775465,0,0.405050469580967,0,0.0847950950421248,0,0,0,0,0
XRP,0,0,0,0,0.0441910475494405,0.0502154303933874,0,0,0.1075167995127,0,0,0,0,0.0354465540367123,0.0146244374879425,0,0,0,0,0
LTC,0.0043621591722761,0.130408886903382,0,0,0,0,0.0423405688510553,0,0.183688702516284,0,0,0,0,0,0.0409232126648566,0,0,0,0,0
ADA,0,0,-0.120121136424055,0.108761513493365,0.0752366661500005,0,0.0513237603782904,0,0.0257616565577309,0,0,0,0,0.108433981171507,0.285259903752704,0,0,0,0,0
MIOTA,0,0,0,0,0.0292174132803108,0.0643842185543023,0,0,0.178053678044009,0.104174086426653,0,0,0,0.176246822744378,0.0381343134366426,0,0,0,0,0.209064947478868
DASH,0,0,0.0441354740232154,0,0.0389012995746463,0.0841312203447571,0,0,0.0224950854125493,0,0,0,0.0500556773730371,0,0,0,0,0,0,0
XEM,0,0,0,0.101434435559188,0.0458385387908994,0.169919935458486,0.0632374153535109,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.050720081144274,0.0775419765081185,0.143561110733393,0,0,0.000938673145500786,0,0.0857425065826529,0.0499183068863886,0.0369187532067779,0,0,0,0,0
BTG,0,0,0.431233627712661,0.062365885878948,0,0.0253572090024061,0,0,0,0,0,0,0,0,0.07531213460781,0,0,0,0,0
EOS,0,0,0,0.107291491881026,0,0,0,0,0.0199750875820797,0,0.0103738942495999,0,0.0943288345772677,0.11708089907787,0,0,0,0,0,0
NEO,0,0,0,0.117508838674667,0,0.0210268453290066,0,0,0.0185201264270545,0,0,0.0690420627183748,0,0.127660005061577,0,0,0,0,0,0
XLM,0,0,0,0,0,0.249104220495,0.119575782864366,0,0,0.305101390306768,-0.0233752283161367,0.0589023207897739,0,0,0,0,0,0,0,0
ETC,0,0,0.0395503540091089,0,0,0.106916658594217,0,0,0.0986279064363477,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0183205394737162,0,0,-0.00131398948324157,0,0,0.0176179637370081,0,0.0322231136388534,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00000000778700321889594,-0.0000000104680775907627,0,0,0,0,0.0000000410913997119597,0,0,0,0,0,0,0,-0.0123794162874512
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
