,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00799052622791845,0,0.384908198035443,0,0.019180117017697,0,0,0,0,0,0,0.0118679005875192,0.0222356684139131,0,0,0,0,0
ETH,0,0,0,0.0349046003022005,0.107683445734814,0,0.0264879246704882,0,0,0.117794774005035,0.0903232805595738,0.0610697207580473,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.051798192886558,0,0.181885550060466,0.0469965371182828,0,0.25180571106424,0,0,0,0,0.0122628097398874,0,0,0,0,0
XRP,0,0.154522258033529,0,0,0.0236211170474762,0,0.0152549897800446,0.0772962259005923,0.0552421259665966,0,0.0541268165166746,0,0,0.0414098652746111,0,0,0,0,0,0
LTC,0.156854423583093,0,0,0.0748882019680517,0,0,0.0614033456485399,0.00293232989962749,0,0.346475558820756,0.0980477554950063,0,0,0,0.00619027246488527,0,0,0,0,0
DASH,0,0,0,0,0.00836966355834707,0,0.0241894767026929,0.0907328553295399,0.0338242527545446,0,0.0724597609675626,0.0389902811390503,0,0.000000000000000000433680868994202,0,0,0,0,0,0
NEO,0,0,0.1002621880876,0,0,0,0,0.256548705805015,0,0,0,0.341577471783321,0.0652469534724828,0.13508813431749,0,0,0,0,0,0
XEM,0,0.203649653752964,0,0,0.0283543371340713,0,0.0202447525819255,0,0,0.111573347951367,0.11212557382191,0,0,0.0235750064040671,0,0,0,0,0,0
XMR,0,0,0,0,0.0404696958553114,0,0.0508154996872519,0,0,0.181208889557478,0.0376416427461944,0.0890675819518517,0,0.0197288116124125,0.00199711395417057,0,0,0,0,0
ETC,0,0,0.0516621387637103,0,0.376243665181496,0,0,0,0,0,0.14746121571176,0.0105916459214631,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.201915240455329,0,0.216784719946539,0,0.263700848084404,0,0.0709045827275488,0,0.0427689307170022,0.0578477530862108,0,0,0,0,0
ZEC,0,0.221127583069579,0,0,0,0,0.0807220004484188,0.128266604978257,0,0.107759036731288,0.105441401015446,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.172876005010921,0.14264619560535,0,0.047036734117326,0.407068433796906,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0184455931316369,0,0.174448415884504,0,0.105433574328477,0,0,0,0.0485026303698534,0.286252964629724,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00284281220180885,0,0.00765133494158228,0,0,-0.0188884286137436,0,0,-0.00921239919137436,0,0.0203734733302642,0,0,0,0,-0.0509027907038876
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.0000000000000000000000264697796016969,0,-0.000424571892678628,0,0,0,0,0,0,0,0,0,-0.027169772136359
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
