,BTC,XRP,ETH,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.495632031878668,0.015501572740682,0,0,0.0827356133988818,0,0.00264726540224235,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.144375488522773,0,0.0346958701878392,0,0,0,0,0
LTC,0.598269224036085,0,0,0,0,0,0,0,0.0114332312976302,0,0,0,0,0,-0.00370838013534428
DASH,0.254763224375225,0.0698898343675015,-0.370925689014571,0,0,0,0,0,-0.00656498054761173,0,0,0,0,0,0
DOGE,0.459570323455777,0,0,0.081782361166028,0,0,0,0,0.0434682053696381,0,0,0,0,0,-0.00745207723018172
XLM,0,0,0,0.19460993141436,0,0,0,0,0.0280669800114018,0.0987716254924299,0,0,0,0,0
XMR,0.54445571643699,0,0.180087873641176,0,-0.0984351537099831,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.323970673103373,0.128885205487569,0,0,0,0,0,0,0,0.0578595694445526
DGB,0.1906665454311,0,0,0,0,0,0,0,0.0583769195489348,0,0,0,0,0,0.224817474495336
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00685888686272965,0,0,0,0,0,-0.0357139751365542
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.000000143395186067138,0,0,0,0,0,0.0290478292375725
DXY.INDEX,0,0,0,0,0,0,0,0.000000808582119443666,0,0,0,0,0,0,-0.0111379265779845
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992761020638494
VIX.INDEX,0,0,0,0,-0.0000180704887707231,0,0,0,-0.0000197143627774221,0.0000680437948093775,0,0,0,-3.12067380588278,0
