,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0312128153618451,0.101645038367975,0.223014695247913,0.00610061017595394,0.258126187201871,0.053241594386682,0,0,0,0,0,0
XRP,0.171463765467496,0,0.0999626824847307,0,0.260845891541854,0.0432018237906441,0,0.00492730729887874,0,0,0,0,0.0568693550237743
LTC,0.198658143126997,0,0,0.0567073195358982,0,0.147589252265523,0.038098468351428,0,0,0,0,0,0
DOGE,0.430707433360181,0,0.0864016378734872,0,0,0.189310344009218,0,0.0134177417805645,0,0,0,0,0
XLM,0,0.350477855531193,0,0,0,0,0,0,0,0,0,0,0
DASH,0.566883497480303,0,0.0274500841495536,0,0,0,0,0,0,0,0,0,0
XMR,0.408392194439416,0.0314937980734626,0.0563515046845381,0,0,0.203649791297726,0,-0.0229063538024957,0,0,0,0,0
DGB,0.635779670142077,0,0,0,0,0,0,0,0,0.251944731350526,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.035001287337098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000541206260628266,0,0,0,0,-0.0735627707602899
VIX.INDEX,0,0.000000115928454151713,0.0000000197449742154107,0,-0.0000000251292929386535,0,-0.0000000622349242592385,0,0,0.000000162680498332745,0,-3.70316975069584,0
