,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0320567737079431,0,0.116931612007688,0,0,0,0,0.103754227103381,0,0,0.0116953197180554,0,0,0,0,0,0
ETH,0,0,0,0,0.0748454263544831,0.242592874864921,0,0,0.0307115922777769,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0575345549297816,0,0,0,0.112817772593652,0,0.0355000655833327,0.0529158350902288,0,0.124456598548758,0,0.0440540901153514,0,0,0,0,0,0,0
BCH,0,0,0,0,0.228214495131,0.278303203399155,0,0,0.237601390126026,0,0,0,0,0.0705533132248175,0,0,0,0,0,0
LTC,0,0,0,0.436019059246666,0,0.106453930663092,0.0255194400017415,0,0,0,0,0,0.139110854618996,0.00217775026785775,0,0,0,0,0,0
EOS,0,0.101943928285107,0,0,0.374026620155934,0,0,0,0,0.026252534317246,0,0,0,0.0197173729759067,0,0,0,0,0,0
BNB,0,0,0,-0.0742423522072062,0.343142696752836,0,0,-0.0748338746371778,-0.107339962685332,0,0,0.322798524389502,0,0.0725933236787924,0,0.170871535889352,0,0,0,0
XLM,0,0,0,0,0,0.109450968785282,0,0,0.0672757384805199,0,0.128933609587447,0.228642781110028,0,0,0,0,0,0,0,0
ADA,0,0,0,0.276816482868133,0.150678172552709,0.179707678423945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.292231306660254,0,0,0.0379186854962645,0,0,0,0.0511530663030725,0.000790739906785815,0,0,0,0,0,0
XMR,0,0.241601119016317,0,0,0.0123301316959499,0.0943143465776012,0,0,0,0,0,0.118991925057262,0,0.0394352578617392,0.0115733496005429,0,0,0,0,0
DASH,0,0,0,0,0,0.200249911141274,0.0133834719331497,0,0,0.049785205745439,0.207735957209775,0,0.108220927761624,0,0,0,0,0,0,0
BSV,0,0,0,0.0364210022928846,0.277055283601441,0.0790493380842133,0,0,0.0722740559133656,0,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0,0,0,0,0,0.0950528852768869,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0778605121148938,0,0,0.103727017621631,0,0.120048164050425,0,0.1760252020433,0,0,0,0,0,0,-0.0260760697527083
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393544132541318
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671503556658908
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
