,BTC,ETH,BCH,XRP,DASH,LTC,XMR,MIOTA,NEO,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0993802147088296,0.386124146553839,0,0,0,0,0,0.0224752491293252,0,0.00805818703781283,0.0525785494571549,0,0,0,0,0
ETH,0,0,0,0.00720867983531678,0,0,0.063214697793828,0.055123336136256,0.0323445162491494,0,0.0634738325104214,0.0847423106300434,0.0161429890206939,0,0.0490816098774894,0,0,0,0,0
BCH,0,0,0,0,0.205230561923608,0,0,0,0.153736728463069,0,0.184487747965744,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.00927162440501372,0,0,0.120517188665306,0,0.0758432141106625,0.0421607797250269,0,0,0,0,0.066985489678858,0.0181608137029956,0,0,0,0,0
DASH,0,0,0.0631787057221885,0,0,0,0.0239954364955467,0.12522136703161,0.0295404293854685,0,0,0,0.0737946909372729,0,0.0423643456939169,0,0,0,0,0
LTC,0.0337949197316277,0,0,0.13475330696573,0,0,0,0.0749190521260335,0,0,0.100413813674447,0.021019944842852,0,0,0.0526040857046796,0,0,0,0,0
XMR,0,0.0633985383870754,0.0612419494546546,0,0.0885916982032758,0,0,0,0.0897609811318108,0,0,0.00411743891440277,0.0973747573729934,0.0167084733914404,0.0647918205951745,0,0,0,0,0
MIOTA,0,0,0,0,0.105767141725558,0,0,0,0,0.249546803581029,0.273809235054076,0.000138282078157884,0.0983346579548764,0.0354876602042974,0.0537143583958059,0,0,0,0,0
NEO,0,0.287241797585557,0,0,0,0,0,0,0,0,0.00387311584099874,0.0101405191611269,0.037062596884079,0.170060143978905,0.0537689810869601,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.197468925524735,0.008835810457354,0,0,0,0,0.0905947145742029,0.106941760381961,0,0,0,0,0
ETC,0,0.147037232801115,0.118188683312333,0,0,0.00799855446884686,0,0.0153021782458377,0,0.0186755377858679,0,0.0402547960562222,0,0,0.000000000000000000433680868994202,0,0,0,0,0
EOS,0,0,0.0110530128161262,0,0,0,0,0.161699184988067,0.0479287034109303,0,0.259588486648724,0,0.145991578554288,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.331765078761243,0.0355924724455324,0,0.229148853194477,0,0,0,0,0,0.00833718455590222,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.160661808958404,0.249714811371657,0.316931666195913,0,0,0,0,0,0,0,0,0,0
ADA,0,0,-0.160856049157883,0,0,0,0.11521745821428,0.0357328545658615,0,0,0.129294466352005,0,0,-0.0527746964801421,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0352858336052173,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000317974488853028,0,0,0,0,0,0,0,0,-0.0000000000000000000067762635780344,0,0,0,0,0,0,0,-0.0278335080338248
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
