,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,TRX,DASH,NEO,XMR,EOS,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0066568588257775,0,0.12986075317319,0.0475695213963717,0.0464422087694701,0.102230559236021,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.130963111645467,0.00862606003190656,0,0.0300064081376357,0,0,0,0.0723894133692335,0.0223128307035396,0,0,0,0,0
XRP,0,0,0,0,0.114996737209217,0.106982775261781,0,0.0309784142815992,0,0.0469637953664927,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0000000000000000000542101086242752,0.00198574259579331,0,0,0,0.226550710509227,0.0517497250993366,0,0.0808559059374512,0.364081510068089,0,0,0,0,0
ADA,0,0,0.109639266236306,0,0,0.0607049051968921,0,0.597261809148731,0.0381612785756044,0.0302566800368492,0,0,0,0,0.0193981180591109,0,0,0,0,0
XEM,0,0,0.111016724375857,0,0.0530977052048708,0,0.0475887863732048,0.254302788850383,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.189643808074825,0.37268815824604,0,0,0,0.234043891293155,0,0,0.0465500818794683,0,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0,0
XLM,0,0,0,0,0.361875951473302,0,0,0,0.0704633567493934,0,0,0,0,0.224857676722563,0,0,0,0,0,0
MIOTA,0,0,0,0,0.112606702153725,0.138437940422064,0.130481135650335,0.097954599885208,0,0,0,0,0,0.0203452922360798,0.0115002322626549,0,0,0,0,0
TRX,0.366877243869056,0.513465482958327,0,0,0.11406677009537,0,0.0362761740971373,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.11256754464955,0,0.00535538191286664,0.116914411509516,0,0,0.0843564602088789,0,0,0.0893342062328209,0,0.00726386283875819,0,0,0,0,0
NEO,0,0.15218245497882,0.0859925407873889,0.026179832504454,0,0.0182940439458267,0,0.22494114320664,0,0,0,0,0.0104459977612709,0.00861605875945862,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.145326586400669,0.0581064000728426,0,0.180001934609925,0.078576984691427,0,0.0165411192110073,0.0391680567167079,0,0,0,0,0
EOS,0,0,0,0,0,0.0415037979700321,0.065713473303996,0.0465370689830404,0.0203197379681293,0.0817926338109235,0,0.160651461563008,0.21449016499076,0,0.0913443678405527,0,0,0,0,0
BTG,0,0,0.0176913738207577,0.551723486151083,0.0220666836937245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00960500323611716,0,0.00100633704634049,0.0105112803923756,0,0.00552722159017264,0,0,0,0.00646596095755508,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00348479300750372,-0.00283679158053884,0,0,0,0,0.000506873164991512,0.00414473630701306,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,-0.000000263537240665502,0,0,0,0,0,0,0,-0.000000156744226585825,0,0,0,0,0.00000037296903170578,0,0,0,0,0,-0.0159758656050446
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
