,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.117913892601527,0.0775894292450138,0,0,0,0,0,0.00436260410175038,0,0.0562071506870194,0,0,0,0,0,0,0,0
XRP,0,0,0.221768652789245,0,0,0,0,0,0,0,0,0.315627447873904,0,0,0,0,0,0,0,0
ETH,0,0.080236187346413,0,0.15297125560245,0,0,0,0.0846628142240358,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.313205077242698,0,0,0,0,0,0,0.137489570851093,0,0.25292640432068,0,0,0,0,0,0,0,0
XLM,0,0.138128656683073,0,0,0,0,0,0.631299604531983,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.142675233794526,0,0.184626809373769,0,0,0,0,0,0.0374601031965988,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0157067020784884,0,0.0856339562360367,0,0,0,0.180538809298909,0,0,0,0.205775620147324,0,0,0,0,0,0,0,0
ADA,0,0,0,0.169837327507267,0.297160162388637,0,0,0,0,0.106265076361643,0,0.183242994898052,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0501581424136799,0,0,0,0.0270363513682081,0,0,0,0.364571137671039,0,0,0,0,0,0,0,0
TRX,0,0,0.259618794046152,0.0749393838582233,0.0751582889103301,0,0,0.0464776945476838,0,0,0,0.22446425859713,0,0,0,0,0,0,0,0
DASH,0,0,0.241223072739477,0,0,0,0,0,0,0,0,0.090506442818567,0,0.11104373402918,0,0,0,0,0,0
MIOTA,0,0.0808859882562208,0,0.115342161456788,0,0,0,0.334598258602131,0,0.0874874765871392,0,0,0,0.0783254489796237,0,0,0,0,0,0
BNB,0,0,0,0.089827329807909,0,0,0,0,0,0.12970957864889,0,0.0512532814328417,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0591246192875795,0,0,0,0,0,0.162536753651364,0,0.184550477621576,0,0,0,0,0,0,0,0
ETC,0,0.0178565875697579,0,0.14661638371808,0,0,0,0.129892256208803,0,0,0,0.0149769135240729,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804683
CVIX.INDEX,0,0.0000209674990144104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642965874050972
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.0000000495094519154005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091728827841706
VIX.INDEX,0,0.000000264771766862346,0,0,-0.000000845103431949915,0,0.0000017046830529795,0,0,0,0,0,0,0,0,0,0,0,-4.05635148143584,0
