,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0802992923739085,0,0,0,0,0,0,0.143123393640314,0,0.0737344428035193,0.14841729799228,0,0,0,0,0
XRP,0,0,0.0609763967445401,0,0.0171197055576633,0,0,0,0,0.0551179329417029,0,0.176190207496273,0.0437637218337116,0,0.147285220725578,0,0,0,0,0
ETH,0,0,0,0.2053947443839,0.103827838312535,0,0,0,0,0,0,0,0,0.000805803917340517,0.242624237936865,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.276071204086556,0,0,0,0.170622065596937,0.184509739585813,0,0,0,0,0
BCH,0,0,0,0.353586658751185,0,0,0.0833640033826548,0,0.351770700894242,0,0,0.00883060193375548,0,0,0,0,0,0,0,0
LTC,0,0,0,0.176014439751083,0.00551945635526039,0,0,0,0,0.0396363958788518,0,0,0,0,0.423041086569913,0,0,0,0,0
TRX,0,0,0,0,0.102270261221677,0,0,0,0,0.1120263016609,0.109422468095102,0,0.0423495410544604,0,0.266829970682013,0,0,0,0,0
XLM,0,0,0.053829153730077,0.236103891949186,0.100441713259362,0,0,0,0,0,0,0.0156018285979488,0,0.0915040366615361,0.111349189886182,0,0,0,0,0
BSV,0,0,0.0354001642172607,0,0.603156528766421,0,0,0,0,0,0,0,0,0.0340233042112569,0,0,0,0,0,0
ADA,0,0,0.132740604243535,0.325183710988734,0.0647206198859546,0,0.0445250158011354,0,0,0,0,0,0,0,0.165940861981194,0,0,0,0,0
BNB,0,0,0,0.185725258664458,0.0264515534404914,0,0.0945539172752824,0,0,0,0,0,0,0,0.123045413107035,0,0,0,0,0
XMR,0,0,0,-0.000000000000000000433680868994202,0.198208835456347,0,0,0,0,0,0,0,0,0.278079964255051,0.191392877034219,0,0,0,0,0
MIOTA,0,0,0.0874332169281908,0.128820688661792,0,0,0,0,0.0264004141101795,0.0208955200167198,0,0,0,0.348508606613765,0,0,0,0,0,0
DASH,0,0,0,0.205686287386544,0.116639980015226,0,0,0,0,0,0,0.157387798105229,0,0,0.0984542903232246,0,0,0,0,0
NEO,0,0,0.405934703550814,0.15610875573757,0,0.0647497784327263,0.0216515247908845,0,0,0.00878139640727458,0,0.241117819712197,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0027909791404119,0,0,0,0.000031450418079698,0,0,0,0,0,0,0,0,0,0,-0.0838673757737543
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332781518425522
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000157163592958288,0,0,0,0.0000000547903108634221,0,0,0,0,0,0,-0.136694809339884
VIX.INDEX,0,0,0,0,0.0000000000000000000000529395592033938,0,0,0.0000016990851209717,0.0000017907594059896,0,0,0,0,0,0,-0.293183492540199,0,0,-2.67694830914871,0
