,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0271818766309753,0.00944993869130671,0.104926156171987,0,0,0,0,0,0,0,0,0,0,0
ETH,-0.606388314890483,0,0,-0.123000609633731,0,-0.0775178464009107,0,0,0.283357485218314,0,0,0,0,0,0.133175496160135
XRP,0.533624571314586,0.0552096887454994,0,0,0.0531906705384478,0.0739473590847187,0,0.0822016794211629,0,-0.0229177143852606,0,0,0,0,0
LTC,0.409441981611434,-0.0154093593602769,0.0050470656363185,0,0,0.0110582264695782,-0.00416234618467622,0,0.0000000000000000000542101086242752,0,0,0,0,0,0
DASH,0,0.0818063330697955,0,-0.105911705714651,0,0,0.108677553534857,0.04855815512321,0.102785990605704,-0.0961220619097509,0,0,0,0,0.167030944657345
DOGE,0,0,0,0.180923135349487,0,0,-0.0416729610182023,0,0,0.025256670296925,0,0,0,0,0.0338982874269537
XEM,0,0,0,0,0,0,0,0,0,0.10445832752353,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.299318873589754,0,0,0.205365691195122,0,0,0.0756499834379259,0,0.0890945039223613,0,0,0,0,-0.0505130410022709
DGB,0,0.0704970365416743,0,0,0,0,0.290802825878641,0,0.208534561801556,0,0,0,0,0,0
BV010082.INDEX,0,0.0113901996241845,0,0,0.0399885221516559,0,0,0,-0.000000000000000000867361737988404,0,0,0,0,0,-0.120695508965694
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00188440682201827,0,0.00437064364799065,-0.00174682072223162,0,0,0,0.00194255054585115,0.00377652506916865,0,0.0450196380527452,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479892520911414
VIX.INDEX,0,0,0,0,-0.000000732922962537071,0.000021343064191687,-0.00000567870003077101,0,0,-0.0000030775429127674,0,0.386192342492656,0,-1.29801146035882,0
