,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,MIOTA,DASH,TRX,NEO,ETC,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108459236227661,0.0551481912105325,0,0,0.0188825272721272,0,0.0393311740401777,0,0.000000000000000000216840434497101,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0641532886017796,0,0,0,0,0.183552463983884,0,0.115805073961881,0,0,0.0206436277460906,0,0,0,0,0
XRP,0,0,0,0.0220401792446995,0.151336950947187,0,0,0,0,0.201106770162499,0,0,0.1257739076805,0,0,0,0,0,0,0
BCH,0,0,0.0695722485416865,0,0.0249833978319506,0,0,0,0.235769552941433,0.0410480173443911,0,0.133529703308101,0.0705718145298626,0,0,0,0,0,0,0
EOS,0,0,0,0.0876272903804054,0,0,0,0,0,0.19585252811047,0,0.12474667580726,0.129278393525551,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0.362614744652294,0,0,0,0.168504047248608,0,0,0,0,0,0,0
LTC,0,0,0,0.187163864628011,0.102157719815487,0,0,0,0,0.0302912258425952,0,0,0.157739388156623,0,0,0,0,0,0,0
XMR,0.392211022378227,0,0,0.00000000000000000173472347597681,0,0,0,0,-0.00000000000000000346944695195361,0.0737691630854177,0.0143333373998871,0,0.26547024436238,0,0,0,0,0,0,0
ADA,0,0,0,0,0.238403077515987,0,0,0,0,0,0.0422834787949586,0.188782519014234,0.168397073124195,0,0,0,0,0,0,0
MIOTA,0,0,0.196496291239019,0,0,0,0,0,0,0,0,0.165270194739241,0.551288408431507,0,0.0399282491517818,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.164352025040637,0.00855386655166948,0.0797335659195206,0,0.0881148542338524,0.231487991981121,0,0,0,0,0,0,0
TRX,0,0,0,0,0.159428769096228,0,0,0,0.0717366905701266,0.198721303068198,0,0,0.258506343243636,0,0,0,0,0,0,0
NEO,0,0,0,0,0.249178356066165,0,0,0,0,0.331337871808864,0,0.0671988159295904,0,0,0,0,0,0,0,0
ETC,0,0.17193750354984,0,0,0.126845072216756,0,0,0,0,0.215764439258841,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0.111038237737201,0,0,0.0805955190125461,0.0911082809068296,0.10893585545209,0.146138864392373,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378528943631491
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.000000887739554493972,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000000000000000000000661744490042422,0,0.0654980712709751,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461117456695861
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
