,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0444069294824606,0.00777258211111492,0.124632219918025,0,0,0.0280657125471531,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.109857876963436,0.117013285147042,0.185569764759862,0,0,0.0516817297695344,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.00781147770522458,0,0.0405633399734072,0,0.180809272875595,0,0.0140483512331449,0.0584837790400072,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.272130516785041,0.113127780476552,0,0,0.1799017741423,0,0.0765656616537536,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.455363894220818,0,0.148292603844221,0.0345288074085116,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.258272784377412,0,0.0552220489291048,0.313006301631431,0,-0.00000000000000000173472347597681,0,0,0,0,0.0925114938701029,0,0,0.00353767390265884,0,0,0,0,0
BNB,0,0,0,0,0.396673632685985,0,0,0,0,0,-0.22599299607202,0,0.340814653278323,0,-0.0108034408040157,0,0,0,0,0
XLM,0,0.102938689635698,0.260281325266111,0,0,0.0715867880125265,0,0,0.0272083333418489,0,0.0398328409046447,0.0654658330103376,0,0.00579834637700173,0,0,0,0,0,0
ADA,0,0,0,0.276915431360163,0,0.299418365017212,0,0,0,0,0,0,0,0.0209202790180632,0,0,0,0,0,0
TRX,0,0,0,0.0205700361269846,0.00000000000000000346944695195361,0.118336214226675,0,0,0.0235110813323353,0,0.108516951722052,0.175544257660705,0.0370965242323619,0,0,0,0,0,0,0
BSV,0,0,0,0.140043825693703,0.113441585964833,0.112957905630853,0,0,0.0441635790053679,0,0,0.0524126114948559,0.0260232057551205,0,0,0,0,0,0,0
XMR,0,0.210461088192053,0.132218639708015,0.00684296629636209,0.00000000000000000173472347597681,0.142992368693413,0,0.0212567427260423,0,0,0,0,0,0,0.0148679123744849,0,0,0,0,0
DASH,0,0,0.0653839928970121,0,0,0.301160277030234,0.00534270376724571,0,0.0415062055622874,0.0733192609929359,0.0401791026262568,0.0943121437320203,0,0,0,0,0,0,0,-0.00370151933706355
MIOTA,0,0.0851286067478259,0,0,0.0807329038490201,0.205130346451115,0,0,0.0597946773897701,0,0.021358759307672,0,0,0,0.0242053718914063,0,0,0,0,0
XTZ,0,0,0,0,0,0.171507467426521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0093880948847522
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759235109671813
VIX.INDEX,0,0,0,-0.00966620588160069,0,0.000762177704747763,0,0,0,0,0,0,0,0.00843814604224314,0.00477104857430519,0,0,0,-1.38372147303749,0
