,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.436296448412079,0,0,0,0,0.0721459880906137,0.00396902594057975,0,0,0,0,0
XRP,0,0,0,0,0.0746460150801388,0,0.125010994976306,0.00459451904278954,0,0.0436092563240651,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.497754192927309,0,0,0,0.0120597748326563,0,0.0109916075068227,0.00264681636713109,0,0.00106241770974201,0,0,0,0,0
DOGE,0,0,0,0.705291370240369,0,0,0.103077360197456,0.0132118964867615,0.0528216333425907,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0598419258590224,0,0,0.187809647036982,0,0,0.02548959836014,0,0.0551670267272272,0,0,0,0,0
XEM,0,0.13080276481525,0,0.715326296170333,0.0414839578842151,0.229302785206308,0.164843860648073,0,0,0,0,-0.671642586933167,0,0,-0.058018117413031
XMR,0.676541103511479,0,0.0281111444209681,0,0.033628616629979,-0.0578300529266104,0,-0.0183517711057779,0,0.0226629620514325,0,0,0,0,0
DGB,0.343322455863161,0,-0.0648959508018018,0,0,0,0.0937099602396867,0,0,0,0,0,0,0,0.187277075828592
BV010082.INDEX,0,0,0.0126707401636856,0,0.0164927972548977,0,0,0.00461806332925392,0.0156085815588965,0,0,0,0,0,-0.0660457131254312
CVIX.INDEX,0,0,0,0,0,0,0,-0.000000135253940641958,0,0.0000000172897978114248,0,0,0,0,0.0469887496977704
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000540356146148666,0,0,0,0,-0.0903065670702206
VIX.INDEX,0,0,-0.0000278889059301906,0,0.00010935075768496,0,0,-0.00000832677951384489,0,0.0000193550525035445,0,0,0,-3.04024306525055,0
