,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0751178507913801,0,0,0.0206014476730712,0.00519182630786481,0.102755328691692,0,0.0700278597724297,0,0.0339057373805169,0.0528695610256906,0,0,0,0,0,0
ETH,0,0,0,0.00317287786784757,0,0.0750815422706574,0,0.205911861598422,0.0356342171125634,0,0,0,0,0.0271538611910243,0.0915387108786199,0,0,0,0,0
XRP,0,0,0,0,0,0,0.016391791048236,0,0,0.127716918659738,0,0,0,0.062325910961431,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0160137944128618,0,0.0274432320489933,0.101807314632753,0.0770278842082456,0.00779443677033814,0.418265700981708,0,0,0,0,0,0,0,0
ADA,0,0,0.0925416920575622,0,0,0,0.151983882668501,0,0.00807025083491496,0.0862941824699896,0,0,0,0,0,0,0,0,0,0
NEO,0,0.127667641879842,0,0.170178659801051,0.0859412547623465,0,0.128605702893856,0,0,0.0263573832664592,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.096668343721801,0,0.332287159368335,0,0,0,0.0169800264710168,0,0.216648261261602,0,0.0513099134440179,0,0,0,0,0,0,0
LTC,0.106481901456389,0,0,0.0746925928696673,0,0,0,0,0.0781804650355059,0.134912636287211,0.0299562038319825,0.0506703648204666,0,0,0,0,0,0,0,0
EOS,0,0,0.108209549962774,0.168675761258981,0,0,0.107686329089804,0.0601420548962481,0,0.0280886862750136,0,0,0.180285644266675,0.0468243592542272,0.0496152824584464,0,0,0,0,0
XEM,0,0,0.0784457032335659,0.0808864232408497,0.109973666151045,0,0.222791838280226,0.0655068170635657,0.0179598346119564,0,0.0692014539883384,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.114158640250422,0.0268612412466776,0.138034698055608,0,0,0,0,0.283252096933531,0,0,0,0,0
DASH,0,0,0,0.0756087069343603,0.0669107392051906,0,0,0.0535720178625696,0,0,0,0,0,0.0707693531804669,0.198762613635062,0,0,0,0,0
XMR,0,0,0,0,0.0199636313276975,0.195519615801507,0.0666209289080641,0,0.112896014927768,0,0,0,0,0.0242429535222877,0.0385961426744917,0,0,0,0,0
TRX,0.139933120697185,0,0.0521961298566195,0.174145818555221,0,0,0.00831499267160399,0.0475561482558153,0.0338015032819381,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.180064486523378,0.0117754398885954,0,0,0,0,0.0580160218012555,0,0.121298611160177,0.0126414273534992,0.025910410601253,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263431197103726,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00344618095025569,0,0,0,-0.000865556160567338,0,0,0,0,0,0,0.00375579927921562,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000318687422441316,0,0,0,0,0,-0.0000383497324526276,0,-0.000136447365578991,0,0,0,0,0,0,-0.0257249877171704
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
