,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.425374874001171,-0.103125277421948,0,0,0,0,0,0.0129169678740462,0,0.0275333561646174,0.00747854941125674,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0280493738370125,0.0751721778885104,0.0269987809194394,0,0.0713901085386777,0.0685876002101439,0,0.0538210885050546,0.00713350225791353,0,0,0,0,0
BCH,0,0,0,0,0,0.192920776240704,0.156118143767625,0,0,0,0.164564025813311,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.00923457075412397,0,0.109709053272226,0,0.0383258677135089,0.0753830870779389,0,0,0,0.0131553465086006,0,0,0.0798124581516132,0,0,0,0,0
LTC,0.0999603390589501,0.115570906110545,0,0.114678928954536,0,0,0,0.0567654247993618,0,0.108233361672512,0.0810427843761444,0.00484142239440773,0,0.0236139247609384,0,0,0,0,0,0
DASH,0,0,0.0611330663821157,0,0,0,0.0295649100674995,0.131683114998944,0.018340834519115,0,0,0,0.0609088568254668,0.0402254619625548,0,0,0,0,0,0
NEO,0,0.19849551164462,-0.000000000000000000216840434497101,0,0,0,0,0,0,0.035384191081744,0.0251542335695109,0.0245872891021504,0,0.0531790647873591,0.168991779965231,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0859560492152446,0.150631440752809,0,0,0.213143994858763,0.188761169631147,0,0.00235616345916062,0.0283545514679601,0.041442378457671,0,0,0,0,0
XMR,0,0.171957267611905,0.0146918803689534,0,0,0,0.0909310725385711,0,0,0,0,0,0.139439084063539,0.00146754955485789,0.0196250470169232,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0557825800221553,0.0867529571790699,0,0,0,0,0.0980143117735225,0.129121065138144,0,0,0,0,0
ETC,0,0.197986158084891,0.123573253357148,0,0.0473848965028807,0,0,0,0,0,0,0.0133442417953135,0,0,0.00586735003269266,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0421200039023669,0.109358806534601,0,0,0.289525941047913,0,0.187722896852414,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.0268580198788409,0.330219180628954,0,0.223355184827428,0,0.0500228661133312,0,0,0,0,0.000050929722300308,0,0,0,0,0
ADA,0,0,-0.12070882036757,0,0,0,0,0.0253294683927937,0,0,0.0959259241410366,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.292940811750432,0.120447635793971,0,0.401751237101702,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0346239002123806,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000000183323376614828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031506415276316
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
