,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0419684869402009,0,0.0542313204386341,0,0.110953607752651,0,0,0.0221984769444979,0,0,0,0,0.00765250749494695,0,0,0,0,0,0
ETH,0,0,0,0.00830725949711862,0.0957445197978843,0.218349044476624,0,0,0.0579971819585528,0,0,0,0.0732940583341305,0,0,0,0,0,0,0
XRP,0,0.0448432284693683,0,0,0,0.210103607254809,0,0.0351832738117685,0.0495337455379407,0,0,0,0.0482281489457963,0.0139818743843676,0,0,0,0,0,0
BCH,0,0,0,0,0.232088913429016,0.34272293674456,0,0,0.140804502173841,0,0,0,0.121113695779275,0,0,0,0,0,0,0
LTC,0,0,0,0.44863246006817,0,0.101484075918842,0.0519089178601095,0,0,0,0,0,0.108200824587821,0,0,0,0,0,0,0
EOS,0,0.216679159133683,0,0.0444736782436526,0.344659167655489,0,0,0,0,0,0.103696752976966,0,0,0.0099275706112043,0,0,0,0,0,0
BNB,0,0,0,0,0.3765324016147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,-0.000000000000000000867361737988404,0.0975442576481841,0,0,0.111809553211235,0,0,0.0537044935832771,0,0.205183978009287,0,0.0608915188353106,0,0,0,0,0,0,0
ADA,0,0,0,0.246474066911701,0,0.331105615295376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0638636737660872,0,0.0966433186266218,0,0,0.0194876621177951,0,0.187414807188451,0.047112744017066,0.0640441501403003,0,0,0,0,0,0,0
XMR,0,0.225918341280953,0,0,0,0.160596108551445,-0.00000000000000000346944695195361,0.0461024899445787,0,0,0,0.166989097307974,0.0445314617868569,0.0129010282094737,0,0,0,0,0,0
DASH,0,0.21043586883875,0.0235656662399997,0,0,0.14875691823436,0,0,0.0219835126106628,0,0.115006874964458,0,0.0936923194527275,0,0,0,0,0,0,0
BSV,0,0.0747262739310231,0,0.0918293028110104,0.239661993892627,0.0214367670251283,0,0,0.0681033477290698,0,0.076123033909783,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0.175897208976455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0671580509650578,0,0,0,0.209588457843489,0,0,0.0992107683226875,0,0.0672673921716586,0,0.0103205017715327,0.00602597911727961,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00938809488475203
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671880316632189
VIX.INDEX,0,0.00223966540973962,0,-0.00997142865032061,0,0,0.000673114443777019,0,0,0,-0.0000000000000000000033881317890172,-0.00143761334457055,0,0.00312105429500392,0.00674810470692829,0,0,0,-1.31930610560799,0
