,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168370757631139,0,0.0839111533627606,0,0.00404616222572378,0,0.0370074102692231,0,0.0265283631941607,0.0303501310116922,0,0,0.0143387857505478,0,0,0,0,0,0
ETH,0,0,0,0.164661499769178,0.0369798991695464,0,0,0.0354767250971469,0,0.0391074220284573,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0762577045963603,0.123439772088383,0,0,0.125051661892746,0.099987379462982,0.106273697320799,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.171833993740392,0,0,0,0,0.408477362028434,0,0,0,0,0.0618107810687191,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.373348774676808,0.148675170635893,0.00498543370365892,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0914047054483655,0.155750310228955,0.0415636109313482,0,0,0.0442886513671389,0.036784567818166,0.0888245411622941,0,0,0,0,0.0532938689839714,0,0,0,0,0
XLM,0,0,0,0,0.116795111487475,0,0,0.33272620772507,0.0268587759703571,0.00960753775079738,0.129579808889891,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.124195573086804,0.138168775579768,0,0.159491603335951,0,0.109230536425932,0.0822824935009062,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.245974847081073,0,0.165490016909823,0.228896470703363,0,0,0.123066581250361,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.322711152467894,0,0,0.022706410770307,0.273144434857495,0,0,0,0.0658392672267252,0,0,0,0,0,0,0,0
NEO,0,0,0,0.073871070069446,0.130831254001254,0,0,0.116009003847764,0.119949340293485,0.140154834169015,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.181360033508338,0,0,0,0,0,0.12323886945348,0.0804702238652614,0,0,0,0.0835470840759651,0,0,0,0,0
XMR,0,0,0,0.191060774717321,0.146326950621644,0,0,0.0592647963132624,0.0481855603987972,0.0562919353900582,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0262674151428336,0.0354018678236403,0,0,0.190612031097076,0,0.0859592573278389,0,0,0,0,0.191512198734151,0,0,0,0,0
ETC,0,0,0,0.158564489203918,0,0,0,0,0.203990552047394,0.162683790588111,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.000726318209595975,0,0,0.0032755160546361,0,0,0,0,0,0,0,0,0,0,0,-0.0778289246964324
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497076115573232
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
