,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0849426080678077,0.0910647422591117,0.0487782723481706,0,0,0,0.0579916825872513,0,0,0,0,0
XRP,0,0,0,0,0.0772933182296409,0.257040280303963,0,0,0,0,0,0,0,-0.0989047171095268
LTC,0.361643770752366,0,0,0,0.0339273015054214,0,0.0417054037527217,0.0499309961416212,0,0,0,0,0,0.158639361741589
DASH,0.1132625889907,0.0323627007660694,0,0,0.0305766512412103,0.224356452658256,0.130265001446022,0,0,0,0,0,0,0
DOGE,0,0,0.0394138388586198,0.186309286715623,0,0.264177724732284,0,0,0,0,0,0,0,0.0244983062706264
XLM,0,0.227538735242729,0,0.0619510379922718,0.250412131909252,0,0,0,0,0,0,0,0,0
XMR,0,0,-0.0615005579501581,0,0,0,0,0,0.220361215474562,0,0,0,0,0
XEM,0,-0.0232425946251996,0,0,0.200985306079507,0,0,0,0,0,0,0,0,0.212580846315366
DGB,0.367312124306221,0,0,0,0.0283720072079249,0,0.0521705283224078,0.0966210176555126,0,0,0,0,0,0.0449823455088755
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545262458500143
CVIX.INDEX,0,0,0.00000960514765490017,0,0,0,0,0,0,0,0,0,0,0.0525435972270012
DXY.INDEX,0,-0.0000000000000000000135525271560688,-0.0024194240915933,0,0,0,0,0.00573351988758922,0,0,0.00961965638486306,0,0,-0.0128720719488194
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685994611386653
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
