,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,ETC,XMR,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.225067331525605,0,0,0,0,0,0,0,0.0892647725944364,0,0,0,0,0,0,0,0
ETH,0,0,0,0.222568071861033,0.119983716345064,0,0,0,0.0371150150808035,0.0849503361313994,0,0,0,0.0254658552596416,0,0,0,0,0,0
XRP,0,0,0,0,0.183842919196352,0,0,0,0.288067422310938,0.0166269112218328,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.109657470688773,0,0,0.0267336233296966,0.082377820643626,0.245912325288507,0,0.0779961553837434,0,0,0,0,0,0,0,0
EOS,0,0,0,0.203744961665924,0,0.0199095108215663,0,0.0219700949120154,0.209005797500999,0.202718299940815,0,0.140865324256147,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.343820869352252,0.0618387941360096,0,0,0.0718527907108453,0,0.031969443283692,0,0,0,0,0,0
LTC,0,0,0,0.204161348360349,0.130850704432434,0,0,0,0.110337271627374,0,0.0621078244576185,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.218907997650853,0.141614605747181,0,0,0,0.178002368427681,0,0,0,0.0245575197093755,0,0,0,0,0,0
MIOTA,0,0,0,0.169654010252045,0.220078338360031,0,0,0,0,0,0.0848039755596964,0,0,0.403526328389475,0,0,0,0,0,0
TRX,0,0,0,0,0.173612293185377,0.0568031268912859,0,0.176348791850512,0.180563719252768,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.223156740597935,0,0.159161724530428,0,0,0.0759698787920727,0,0,0,0,0,0,0,0
XMR,0,0,0,0.454880888781936,0,0,0,0,0,0,0,0,0,0.268940252284949,0,0,0,0,0,0
DASH,0,0,0,0.067408100741237,0,0.00854379745990312,0,0.0189029477142792,0.101703372416516,-0.00000000000000000693889390390723,0,0,0,0.178134034446659,0,0,0,0,0,0
NEO,0,0,0,0,0.0591026941928369,0.140768096091386,0,0.182630237835985,0.213644515700368,0.0606889263192197,0,0.190130357442187,0,0,0,0,0,0,0,0
BNB,0,0,0,0.077064727002287,0.0999998006498568,0.098646538136546,0,0,0,0,0.211559784824907,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0027929659019387,0,0,0,0,0,0,0,0,-0.0478814943296288
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000025951055618337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317070402289694,0,0,-0.0106418818810068
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060099905894332
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
