,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0326508698545321,0,0.0703128219024303,0,0,0.00907469490525727,0,0.0161247643708979,0,0,0,0,0,0
ETH,0,0,0,-0.647474291901245,0,-0.0548557618711489,0.0539262174239639,0.3460072595533,0,-0.0272608699086117,0,0,0,0,0.161328372431039
XRP,0,0.0496904586300558,0,0,0,0.0228638850386766,-0.0238178272660854,0,0.131545206117821,0.0299100013375715,0,0,0,0,0
LTC,0.278076147185335,-0.0217072938898768,0,0,0,0.0169911750883068,0.0039009031486565,-0.00119420842762744,0.00728152502233652,0,0,0,0,0,0
DASH,0,0.0446101619609843,0,0,0,0,-0.107227390690526,0,0,0,0,0,0,0,0.103788491246095
DOGE,0,0,0,0,0,0,-0.0264785227212968,0,0.124277999391359,0.0436662668697583,0,0,0,0,0.0588671699357495
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.198291773596861,0,0,0.230258830866093,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.146230531773732,0,0,0.0051543428169349,0,0,0,0,0.0753357747026002
DGB,0,0.135578393466402,0,0,0,0,0.0521920682099713,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.00697583720067028,0,0,0,0,0,0,0,0,0,0,0,0,-0.104494475391389
CVIX.INDEX,0,0,0,0,0.00000691104953142006,0.000010539383514912,0,0.00000157797236371631,0.000000755645526221455,0,0,0,0,0,0.192249297965808
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00593598816984814,0,0,0,0,-0.0837022499517864
VIX.INDEX,0,0,0,0,0,0,0,0,0.00000100078741177535,-0.0000204218629100463,0,0.38266966693011,0,-2.22890677344249,0
