,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0879010921658928,0.0506135326341632,0.060106211210693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.201354315467537,0.13071427555851,0.125652054389484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0431619577773462,0,0.112592368750424,0.126001189554079,0.0589006980717727,0,0.0579339190299703,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.253822630495214,0.231303827963505,0.0968594611110429,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.162806415820271,0,0.388454104605011,0,0.046288026849828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.179922590129138,0.120314717785457,0,0,0,0.274555803920432,0,0.0592020559628363,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.558683043931955,0,0,0,0.00000000000000000173472347597681,0,0,0,0,-0.388944054831241,0.267493981817095,0.0640402270956051,0,0,0,0,-0.114640062559482
XLM,0,0.0869825256822717,0.0637443658112376,0.0991723223800616,0,0.0869653919522273,0,0,0.110227557174807,0,0,0,0.122412133315207,0,0,0,0,0,0,0
ADA,0,0.0648294351537192,0,0.170505641517286,0.0731121978862528,0.328237236753185,0,0,0,0,0,0,0.0429291742172844,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0937925260095722,0.0597079713382028,0,0,0.124566559755093,0,0.0934613709813778,0.0854366675945605,0,0,0,0,0,0,0,0.028774702916808
BSV,0,0.0867184573784057,0,0.0549924444823079,0.154272071357513,0.188929709515645,0,0,0.0644390572478054,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.122128445787882,0.267263361094866,0.0506906471919559,0.000154176799977905,0.0201768723496656,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0798790456066844,0,0.0611420137022215,0.205955534056553,0.0558569459262865,0,0.0479316722406419,0.174622159375287,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0701819729129662,0.31600784603345,0,0,0.00841828383304364,0.0786865993587442,0,0.0195319867792392,0,0,0,0,0,0,0,0,0
MKR,0,0,0,0,0.374913519244218,0,0,0,0.11322085692565,0,0.231709337829071,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.000000000000000326995375221628,0,0,0,0,0,0,0,0,0,0,0,-0.0335947295575477
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091542803456352
VIX.INDEX,0,0,0,0,0,0,0,0,0.0000113013943768808,0,0,0,0,0,0,0,0,0,-2.68563388770542,0
