,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,TRX,LEO,DASH,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0629159873549873,0,0.25941227311309,0,0,0,0,0.309679942612217,0,0,0,0,0,0,0,0,0,0,0
ETH,0.173766097347965,0,0,0,0.13831264238994,0,0.187008309027345,0.0451976572675711,0,0,0,0.177877712572273,0,0,0,0,0,0,0,0
XRP,0,0,0,0.265454258708323,0,0,0,0,0.0376900173568498,0,0.106057579172285,0.084027928050985,0,0,0,0,0,0,0,0
BCH,0.173993879488313,0.240288740522029,0,0,0.0850874162694061,0,0.111200702370071,0,0.0224333101638433,0,0,0.0936992469069408,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0413349387632763,0,0,0.368884976178749,0,0,0,0.0227261924366044,0.132046799248297,0,0,0,0,0,0,0,0.000046854452074837
BNB,0,0,0,0,0.216601617857965,0,0,0.0407335594241721,0.117220523390861,0,0,0.0687124430093698,0,0,0,0,0,0,0,0
EOS,0,0.0622668878473999,0,0.168307043529289,0.0971913406233714,0,0,0.0254380844454546,0.0164269777658206,0,0.0804728947691108,0.283749723493756,0,0,0,0,0,0,0,0
BSV,0.0218878058767022,0,0,0.177135153239393,0,0,0.125766563480849,0,0,0,0,0.324717910945566,0,0,0,0,0,0,0,0
XMR,0.311189013057641,0,0,0.10833911585635,0,0,0,0.0741465427170787,0,0,0,0.123561559531942,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0580708654217978,0.0330411459296255,0,0,0,0,0,0.220094998107663,0.194599334332613,0,0,0,0,0,0,0,0
ADA,0,0,0,-0.00000000000000000173472347597681,0,0,0.327347123680186,0,0,0.219364535395208,0,0.218934495600906,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0369846025764289,0,0.252862754115428,0.253961014941683,0.0915190105672972,0,0.0863224711798329,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,-0.000000000000000000867361737988404,0,0,0,0.100564296296641,0,0.0510525665127837,0,0,0.0828050628515878,0,0,0,0,0,-0.0875673304863108
DASH,0.122467373404519,0,0,0,0.0137510231158264,0,0.127036550110048,0,0.0826089092720693,0,0,0.127457057216769,0,0,0,0,0,0,0,-0.00496763466825942
ETC,0,0,0,0.114305736168106,0.22169238660615,0,0,0.144012819293026,0,0,0,0.063531866190278,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16213933802186,0,0,-0.118743822204325
CVIX.INDEX,0,0,0,0,0,0,0,0.0000000000000000000000132348898008484,0,0,0,0,0,0,0,0,0,0,0,0.0340936916783287
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000974475917446998,0,0,0,0.0341636099189257,0,0,0,-0.000287708281677042
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790167925147606
VIX.INDEX,0,0,-0.0000000000000000000016940658945086,0.0000128720011702554,0,0,0,0,0,0.00000673581463746329,0,0,-0.00000908999068889103,-0.0000246579771578763,0,0,0,0,-4.13388823000709,0
