,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XMR,XLM,TRX,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0782288070463914,0.0382903995639019,0.130059844449949,0,0.0205583718675425,0,0.0243285064145792,0.0310622179624503,0,0,0.000000000000000000216840434497101,0,0,0,0,0,0
ETH,0,0,0,0.16204883301309,0.0103195657010438,0.0298028083126941,0,0.0103241348674415,0,0.0556931044739085,0,0.0152009824572217,0,0.207494428338204,0,0,0,0,0,0
XRP,0,0.234295554602307,0,0.0270733702475458,0.0323339623401269,0,0.065437621934805,0,0,0.0394769727861404,0,0,0,0.0869523460618746,0,0,0,0,0,0
BCH,0,0,0,0,0.244259117311253,0.03672876100595,0.058952225549286,0,0,0,0,0,0,0.282762756955732,0,0,0,0,0,0
BSV,0,0,0,0.532499462123244,0,0,0.356973627650724,0,0,0,0,0,0,0,0,0,0,0,0,0.0568262568403853
LTC,0,0,0,0.269438660185146,0.0675692702273136,0,0.0282172671681202,0,0,0.0512544895433784,0.104158383957555,0,0,0.0546700401792962,0,0,0,0,0,0
EOS,0,0,0,0.171414557440809,0.123389375505468,0,0,0,0,0.0783360729512775,0,0.0393427914698957,0,0,0,0,0,0,0,0
BNB,0,0,0,0.162324792875014,0,0,0.0472085746894726,0,0,0,0,0,0,0.265045331007539,0,0,0,0,0,0
XTZ,0,0.0554607384918883,0,0,0,0,0,0,0,0,0.29885792658331,0.0529559324249981,0,0.0108066124445423,0,0,0,0,0,0
ADA,0,0.118368827108914,0,0.048638827689432,0.0226734552992926,0.15928777530556,0.0774524787479505,0,0,0,0,0.0304576962009031,0,0.165897269645326,0,0,0,0,0,0
LINK,0,0,0,0.0306300712805701,0,0.274622513868507,0,0,0.0966386354932675,0.0904835242250139,0,0,0.148826227092717,0,0,0,0,0,0,0
XMR,0,0.104444496320591,0,0.0585258737391548,0.0104368956532542,0.0416657321234553,0,0,0,0.217081063369837,0.0505788449150497,0,0,0,0,0,0,0,0,0
XLM,0,0,0.491008364866882,0.047711059382122,0,0,0,0,0,0,0.151013847659553,0,0,0,0,0,0,0,0,0
TRX,0,0.112497017973791,0,0.180742923152414,0.0212685701555823,0,0.0125397849825702,0,0,0.0595081521972766,0,0,0,0,0,0,0,0,0,0
HT,0,0,0,0,0.020102943279337,0.039583273662142,0,0.26989194210874,0,0,0.119211048889188,0,0,0.00000000000000000346944695195361,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.000263785098322148,0,-0.000227823498098023,0,0,0,0,0,0,0,0,0,0,-0.0871765347576889
CVIX.INDEX,0,0,0,0,0.00420163895106344,0,0,0,0,0,0.00156007897526437,0,0,0,0,0,0,0,0,0.0890684232207241
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00278970927379527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0631497034805573
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
