,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0996195807604892,0,0,0,0,0.0606077038550187,0,-0.00958846377836271,0,0.0315869242392923,0.0101539322764103,-0.0222309618983904,0,0,0,0,0
ETH,0,0,-0.0371560012742548,0,0.07994752258862,0,0,0,0,0.158801929606028,0,0,0,-0.00441293718470914,0,0,0,0,0,0
XRP,0,0,0,0,-0.168137149727284,0,0,0,0,0,0.424184502514697,0,0,0,0,0,0,0,0,0
LTC,0,-0.0903431280484679,0,0,0,0,0,0,0.345202333029134,0,0.0248928896300225,0.0956906651273608,0.183962642005162,-0.0604437428168402,0,0,0,0,0,0
ETC,0,0.388004570806069,-0.144837481423897,0,0,0.0908601902618737,0,0,0,0,0,0,0.230287702409211,0,0,0,0,0,0,0.0455400270487267
XEM,0,0,0.105787713173631,0.16786540899191,0,0,0,0,-0.0000000000000000000271050543121376,0,0.0612597918171076,0.187034744687514,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0275230002248473,0,0,0,0.220305664632755,0.0920401798463657,0,0,0.11482668766574,0,0,0,0,0,0,0.0323487551951135
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0877106213226401,0,0,0.279171711597615,0,0,0,0.131351736254095,0,0,0,0,0,0,0,0,0
ZEC,0,0.286594384434187,0.0204821756120217,0,0,0.0285608247442553,0,0,0.0438359178108109,0,0.00564534000325371,0.0695434529842549,0,0,0,0,0,0,0,0
XLM,0,0,0.49781928340847,0,0,0,0,0,0.153520765807343,0,0,0,0,0.0476115567732003,0,0,0,0,0,0
DOGE,0,0,0,0.171543988776482,0,0.15462373464332,0,0,0,0,0.0953639759891428,0,0.0555623201527288,0.0689046554740353,0,0,0,0,0,0
NEO,0,0,0.120873900158997,0.101376588178388,0.642021512155444,0,0.0850699127816283,0,0,0.0707899868537426,0.0186265893389258,-0.000000000000000000433680868994202,0,0,0,0,0,0,0,-0.164017715456702
DGB,0,0,0,-0.11189373992901,-0.0753092360718796,0,0,0,0.316482281407648,0,0.265897275464613,0.392874413631721,0,0,0.0665442038561781,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00192764997352899,-0.00119238606647774,0.024542164521388,0,-0.000821139244727936,0,0,0,0,-0.0469435203900987
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00281207545777659,0,0,0,-0.000261189749328329,0,0,0,0,-0.0000000000000000000135525271560688,0,0.00026687798859274,-0.00281212208658464,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000303060885423137,0,0,0,0,0,-0.0160151887830781
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
