,BTC,LTC,XRP,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0924242442160933,0,0.0294073872700518,0.0296430509644244,0.0335529342144357,0,0,0.0470773968425875,0,0,0,0,0
LTC,0.253636805998543,0,0,0.0471317513936011,0,0,0.0306267225264719,0.0567025710617792,0,0,0,0,0,0.157360018781407
XRP,0,-0.0766007317825219,0,0.0910833359588713,0,0.241213649228025,0,0,0,0,0,0,0,-0.08690931610754
DOGE,0,0.182581866182048,0.103717673184867,0,0.202138245374071,0.287843551307101,0,0.0666525371302354,0,0,0,0,0,0
DASH,0,0.0797715186271058,0.13017969853904,0.0113411081865489,0,0.0953452807016351,0.127491569890459,0,0,0,0,0,0,0
XLM,0,0.0434346533903316,0.251899591669682,0.270155115397567,0,0,0,0.0762334908174434,0,0,0,0,0,0
XMR,0,-0.0344688277863865,0,0,0,0,0,0,0.242394959036127,0,0,0,0,0
XEM,0,0.144940479597665,0,0.146970704890861,0,0,0,0,0,0,0,0,0,0.107008785838827
DGB,0,0.0636672092770005,0,0.0380143594645325,0,0,0.0794335082421459,0.0504783897248266,0,0,0,0,0,0.085179095432214
BV010082.INDEX,0,-0.00592354021407739,0,0,0,0,0,0,0,0,0,0,0,-0.0364695648839674
CVIX.INDEX,0,0.0000010806751157884,0,0,0,0,0,0,0,0,0,0,0,0.05464070512292
DXY.INDEX,0,0,0,0,0,0,0,0.0000000474900545673538,0,0,0,0,0,-0.0103269843748827
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06860146577301
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
