,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,BNB,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.190413681464595,0.133374652689923,0,0,0,0,0.032858868130688,0,0,0,0.0281639024757343,0.00126374061626308,0,0,0,0,0
XRP,0,0,0.0202657197169158,0.0615443364688412,0.028214091134673,0,0,0,0,0,0.180194897501854,0.0951432442403312,0.0521748087453942,0,0.0620433637100544,0,0,0,0,0
ETH,0,0,0,0.138855412246188,0.12634699477823,0,0,0,0,0,0.0202753718922935,0,0.00668434253689403,0,0.312950744441626,0,0,0,0,0
EOS,0,0,0.150437148219818,0,0.0403131810841632,0,0,0,0,0,0.322066912593794,0,0,0.0225459358641288,0.0894630451480705,0,0,0,0,0
BCH,0,0,0.046275212801955,0.184336188104724,0,0,0.0237470706023344,0,0.441816940892244,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.13087700712236,0.315775182322696,0.0172521394068169,0,0,0,0,0,0,0,0,0.064864056989236,0.122223223643621,0,0,0,0,0
TRX,0,0,0,0,0.113794523845938,0,0,0,0,0,0.40951528465159,0,-0.00000000000000000173472347597681,0,0.00076077012897959,0,0,0,0,0
XLM,0,0,0,0.301319903188664,0.128195495681846,0,0,0,0,0,0,0,0,0.106546335737322,0,0,0,0,0,0
BSV,0,0,0,0,0.634877740352544,0,0,0,0,0,0,0,0,0.010795960129864,0,0,0,0,0,0
BNB,0,0,0,0.185571534210188,0,0.158718195429656,0.154195136364297,0,0,0,0,0,0,0,0.182189144742428,0,0,0,0,0
ADA,0,0,0.317018485335878,0.249628227991256,0.0455670576796074,0,0.045770716645277,0.0444044048673792,0,0,0,0,0.0108386667852776,0,0.101791305683765,0,0,0,0,0
XMR,0,0,0,0.00691577325521352,0.185608326802222,0,0,0,0,0.0280239101371499,0,0,0,0.293063956981233,0.186156281610157,0,0,0,0,0
MIOTA,0,0,0,0.0777473029588019,0.187350147960049,0,0,0,0,0,0,0,0,0.365152633861729,0,0,0,0,0,0
DASH,0,0,0,0.245302944045938,0.128717750229732,0,0,0,0,0,0,0.132562924535408,0,0,0.0439121605006611,0,0,0,0,0
NEO,0,0,0.38936161076386,0.30071467851641,0,0.0752869806312899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250142618951426
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11157771932746
VIX.INDEX,0,0,0,0,0.000000219187845964761,0,0.000000431754497059266,0,0,0,0,0,0,0,0,-0.0697871487431217,0,0,-2.36614375582321,0
