,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,DASH,XMR,TRX,XLM,ADA,XTZ,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.097417359105321,0.022273586977333,0.0705741014995639,0.0385291073282362,0.0405331222306082,0.0159918786374351,0,0.0835584962970302,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.148157236026164,0.0501389309444367,0,0.200294082594994,0,0.0646334050970462,0.0304551836666224,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0488524583779347,0,0.15340580807903,0,0.0499187785343646,0,0.109538327604104,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.262197554703729,0,0.0191308348355353,0,0.0711031783976348,0,0.149611699126156,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.52567801677773,0,0,0.227996657493647,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.190894057716377,0.0172789621304649,0,0.428345824623667,0,0.0285313328632059,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.11314629767774,0.141680293256826,0.11282375056725,0,0,0.0623058084233267,0,0.130646574382193,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.00758466785540606,0,0,0.238447599963066,0,0.165236401598043,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.130432614917633,0.171178716946058,0.38303028884229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0473442988950295,0,0,0,0.257791484073583,0.177730598097206,0,0,0,0,0,0,0,0,0,0,-0.0693374855434367
TRX,0,0,0,0.132401286243407,0.0229417113014989,0,0.164871820450135,0.0829848169106299,0.067260346024987,0,0,0,0,0,0.0870437310546613,0,0,0,0,0
XLM,0,0,0,0,0,0.132113078172653,0.0437471440605795,0.177634610820506,0.10412008633308,0,0.0921215507716382,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0473540476221872,0,0.128855042922963,0.0449709753383674,0.0656843304609962,0,0.234019346211868,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.226328729581606,0.0376245444448562,0,0,0,0,0.0292271402260377,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0650857989519048,0,0,0.015614982264644,0,0.337269092930501,0,0.226857333468587,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00790687999176953,0,0,0,-0.0137091714537103,0,0,0,0,0,0,0,0,0,0,-0.0647837429115842
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00520676909446965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221198885432334
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
