,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.149147777103174,0.114173683560291,0,0,0,0,0,0,0.0967770820811855,0,0.0546594631166542,0.0124642805296491,0,0,0,0,0
XRP,0,0,0,0.0804121512633954,0.0785613475055353,0,0,0,0,0.0619366397933702,0,0.0441780278732173,0.0579275536041133,0,0.110522893524779,0,0,0,0,0
ETH,0,0,0,0.211146532519974,0.115904964481022,0,0,0,0,0,0,0,0.00179807822302602,0,0.22930900696494,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.416429012885024,0,0,0,0.107144167917575,0.168978082954744,0,0,0,0,0
BCH,0,0,0,0.351118926251107,0,0,0.0773828950024164,0,0.341689907685709,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.138331377075703,0.325583928686887,0.0202741593322455,0,0,0,0.0341178253884882,0,0,0,0,0,0.11790624728871,0,0,0,0,0
TRX,0,0,0,0,0.177682811823213,0,0,0,0,0,0.107230998906337,0,0,0,0.241419273563906,0,0,0,0,0
XLM,0,0,0,0.285395648291776,0.133152626956039,0,0,0,0,0,0,0,0,0.101506568746298,0,0,0,0,0,0
BSV,0,0,0.0474076402473141,0,0.60566233768398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.175880590944689,0.331827551233572,0.0735940878217353,0,0.0166727053541939,0,0,0,0,0,0.00187684818545198,0,0.105725564046615,0,0,0,0,0
BNB,0,0,0,0.302755917941918,0.0208037760455594,0,0,0,0,0,0,0,0,0,0.155417764274156,0,0,0,0,0
XMR,0,0,0,0.0500854373986307,0.1127730688003,0,0,0,0.0407721747149708,0,0,0,0.0388253328455049,0.269908974213164,0.202735231045025,0,0,0,0,0
MIOTA,0,0,0,0.108041719163634,0,0,0,0,0,0,0,0,0,0.39106263933786,0,0,0,0,0,0
DASH,0,0,0,0.26175984652248,0.124339976328843,0,0,0,0,0,0,0.130704707636074,0,0,0.0472157485276997,0,0,0,0,0
NEO,0,0,0.328199893155154,0.329953508537603,0,0.086833075518354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00242511007998808,0,0.00102305583539028,0,0,0,0.00114888856801005,0,0,0,0,0,0,0,0,-0.0820077369450178
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115109487631425
VIX.INDEX,0,0,0,0,0.00000000000000000000042351647362715,0,0.00000638836369286202,0,0,0,0,0,0,-0.00000663968124641434,0,0,0,0,-2.40599146301976,0
