,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0519808390477571,0.00968508084403823,0,0.11428412012215,0,0.0141195346348804,0,0.000000000000000000433680868994202,0,0,0.128641790272781,0,0,0,0,0,0
ETH,0,0,0,0.100558799948371,0.0447370872843847,0,0.0638820248323104,0,0.150087587280909,0.000000000000000000433680868994202,0,0,0,0.0264716400810205,0,0,0,0,0,0
XRP,0,0,0,0.0857085621332314,0.05463818203951,0,0.104032805881717,0.011774132625295,0,0,0,0,0,0.347506282571987,0,0,0,0,0,0
BCH,0,0,0,0,0.0196869230541202,0,0.0863255635641251,0.144830394610485,0.194796519217387,0,0,0.0679620677847336,0,0,0,0,0,0,0,0
EOS,0,0,0.0776456114865272,0,0,0,0,0,0.0181421942086317,0.373642305971286,0.047027503524754,0,0,0,0.0734075852694336,0,0,0,0,-0.045579348529076
LTC,0,0,0.122720695256506,0.181680306312092,0.0461129555428301,0,0,0,0.0339647896908696,0.0236959862807373,0,0,0,0.0879427877856097,0,0,0,0,0,0
ADA,0,0,0.0803509458531936,0.0399007110461925,0.0835408946067463,0,0,0.301369509973271,0.0439192793517846,0,0.0316963350860046,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.108692500106334,0,0.294868477050306,0,0.0219628850931092,0,0,0,0,0.189082318653683,0,0,0,0,0,0
MIOTA,0,0,0,0.311436766963745,0,0,0.272621489126495,0,0,0,0,0,0.00473136577672927,0,0,0,0,0,0,0
TRX,0,0,0,0.0147581777178878,0.180670115528868,0,0.0446758142569814,0.335719102219969,0,0,0.109498544500764,0.122127855946006,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0811882725619604,0.0832833469789475,0,0.0559423353378303,0.0361941814217815,0.184512092736223,0,0,0,0,0.224231821302378,0,0,0,0,0,0
XMR,0,0,0,0.0739992682903848,0.0160194823263175,0,0.0343786531353157,0,0,0.0551629858441613,0,0,0.337655685673517,0.0979248632038045,0,0,0,0,0,0
DASH,0,0,0,0.191106569221126,0.0286169180977395,0,0,0.0846323755662253,0.14184313440032,0,0,0.111839420838668,0,0,0,0,0,0,0,0
XEM,0,0,0.101860481465433,0.0518011139612946,0,0,0,0.212747439016255,0.223172136093337,0.00623878840248772,0.00582531107033832,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0673995609717287,0.025487262288674,0,0.0925324726212295,0,0.122052474048901,0.0276845480864785,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0218459255438434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101879293508206
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.00000318793059996508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0908663873624729
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
