,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00923003144887849,0,0.0559491149108431,0.110499959411745,0,0,0,0.0158653668906868,0,0,0,0.0172482144220929,0.0243246117988721,0,0,0,0,0,0
ETH,0,0,0,0,0.217351283859721,0.0984750057598223,0,0,0.0634017386974979,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.171428467998838,0,0,0.0692661349117259,0.0208100646445731,0,0.0440190361951372,0.0910520717603534,0,0,0,0.00724269303715774,0.0363402100526291,0,0,0,0,0,0
BCH,0,0,0,0,0.239721826690206,0.235095622849171,0,0,0.192545970693595,0,0,0,0.0718020419352426,0,0,0,0,0,0,0
EOS,0,0.161541040398828,0,0.0240988252429898,0,0.369508799979141,0,0,0,0,0.0935531706813166,0,0,0.000605649898787171,0,0,0,0,0,0
LTC,0,0,0,0.450905557632896,0.116736258859392,0,0.0522995476212653,0,0,0,0,0,0.0892690470167225,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.507706534911395,0,0,-0.108408878554337,0,0,0.178183846780276,-0.11215485547051,0,0,0,0,0,0,-0.00395585182534976
XLM,0,0,0.056802207032083,0,0.105832735767156,0,0,0,0.0941068673414245,0,0.0533374689784313,0.098329711666224,0.059245555438764,0,0.0289763384914927,0,0,0,0,0
ADA,0,0,0,0.288742127094945,0.226732203959347,0,0,0,0,0,0,0,0,0,0.116028679765128,0,0,0,0,0
TRX,0,0.0305070035059079,0,0.0517883829238098,0,0,0,0,0.043534125283845,0,0.108858542749235,0.0842706143615414,0.0760914276171545,0,0,0,0,0,0,0
XMR,0,0.21189218499813,0,0,0.0914225970818155,0.0565315331704253,-0.000000000000000000867361737988404,0.0303020497227411,0,0,0,0.0735438364991997,0,0.0198779169187326,0,0,0,0,0,0
DASH,0,0.308497919956823,0,0,0.104646301797721,0,0.0139065289695498,0,0.030140875300208,0,0.0642638844800303,0,0.0872650060258711,0,0,0,0,0,0,0
BSV,0,0,0,0.05995942229375,0.0393244654687103,0.264727022246709,0,0,0.0987210269275263,0,0.0518321100394485,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.179447669592139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.226444518502492,0,-0.0000000000000000000067762635780344,0,0.100673915750107,0,0,0.0295647074263234,0.0422144404521033,0.0176943102073897,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00938809488475205
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671424729152733
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
