,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.382266323138818,0,0,0,0.0750235499195671,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0425476692463615,0,0.191887602423049,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.112467523722473,0,0,0,0,0,0,0
LTC,0.581373778173516,0,0,0,0.0139985898710049,0,0,0,0.00728391636480956,0,0,0,0,0,-0.00287345505901204
DOGE,0,0,0,0.567510384844969,0,0,0,0,0.0169525271012284,0,0,0,0,0,0
DASH,0.287301334494252,0.0309393882046368,-0.456020745763733,0,0.0176749196864642,0,0.0465653034215531,0,0,0,0,0,0,0,0
XLM,0,0.215138383916711,-0.0208130414209665,0,0.158517933798033,0,0,0,0.0365828549428983,0.0605414621739703,0,0,0,0,0
XMR,0.629360079582959,0,0,0,0.0246344374179721,-0.0694750322128555,0,0,0,0.020539189447797,0,0,0,0,0
XEM,0,0.168813020815433,0,0.468620315065208,0.0942398367893816,0,0,0,0,0.193906810925503,0,0,0,0,0
DGB,0.374749444886468,-0.131464331797879,-0.0584506427861729,0,0.0995231789099323,0,0.579555269230375,0,0,0,-0.687342495044444,0,0,0,0.0260010991863546
BV010082.INDEX,0,0,0,0,0.00860101579121365,0,0,0,0.00734857707200604,0,0,0,0,0,-0.0362336683620757
CVIX.INDEX,0,0,-0.0000378143409177056,0,0,0,0,0,-0.00684805016886177,0.00130288532889872,0,0,0,0,0.0492161492726559
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0035891377171615
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000333736279581435,0,0,0,0,-0.0845417814506053
VIX.INDEX,0,0.0000817460415230027,0,-0.000192425818914358,0.0000154032088926656,0,0,0,0,0.0000246590446727324,0,0,0,-4.56677419998074,0
