,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.485615091635707,-0.0073398349101804,0.00336156349582706,0.0599585096664789,0,0.00589290476472317,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0.0648555591585282,0,0,0,0.0994076581892776,0,0,0.0268745884224515,0,0.0214079607622972,0,0,0,0,0
LTC,0.444642563479523,0,0,0,0.0134443287713246,0,0,0,0,0.00231481704442515,0,0,0,0,0
DOGE,0,0.0625737910301767,0.0467400230421083,0.616718328496769,0,0,0,0.167673099763442,0,-0.00000000000000000010842021724855,0,0,0,0,0.0677902398219322
DASH,0,-0.163778925360409,0,0,0,0,0,0,0,0.177003923790046,0,0,0,0,0
XMR,0.217219822130313,0,0,0,0.0000000000000000000135525271560688,-0.148214386275623,0,0.244858097837347,0.0396890045209115,0,0,0,0,0,0
XLM,0,0,0,0,0.185006952422693,0,0,0,0.0516030053183176,0.0714049050522731,0,0,0,0,0
XEM,0,-0.101901983009429,0,0.526979175814517,0.0644434467674722,0.234948677685635,0.110204500004463,0,0,0.0955908505774877,0,0,0,0,0
DGB,0.248670584220863,0,0.455139150544374,0,0,0.0476389719115509,0,0.101275809390362,0.0282619550048182,0,0,0,0,0,0.210453743974632
BV010082.INDEX,0,-0.00738926351425183,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391923814927109
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000242282455594365,0,0,0,0,0.0525812227821989
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000155154429503535,0,0,0,0,-0.12033233608111
VIX.INDEX,0,0,0,0,0.0839977566817573,0.015423477438718,0,0.0211024944368354,0.0110363851165263,0.0608249689437008,0,0,0,-1.33724375673498,0
