,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.0607546035116731,0,0,0.102834208353255,0.201177130117786,0,0.122524515924258,0,0,0,0,0,0,0
ETH,0,0,0.09587973584566,0.0686686538318292,0.0143714960940838,0,0,0,0.0815636073552632,0.242289470950539,0.0203374138243557,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.00722658879467333,0.0464589758061679,0.117016582309999,0.0724622299576261,0.147927193140114,0.0750439318222732,0,0,0,0.0466225694877204,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0173616861145063,0,0.172968061789625,0,0,0.213878648505262,0.0151099721706857,0.0741944330867329,0,0,0,0,0
LTC,0,0,0,0.187505932071865,0,0.0449944603422035,0,0,0,0.118552924987182,0.120617978319502,0,0.052268461580741,0.014603837373881,0.0433434091527185,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.0329539399134772,0,0.205496493579318,0.01804471079289,0,0.104163682139099,0.168746957372278,0,0,0,0,0
ADA,0,0,0.0912198582645689,0,0,0,0,0.290966300022113,0.0749371203352713,0.0952340755483277,0,0.0725849445357227,0,0,0,0,0,0,0,0
XLM,0,0,0.0843107198426588,0,0,0,0.108492946380404,0,0.114033004643006,0,0.208273908329731,0.129801171076514,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0180030413349504,0,0.191299933364338,0,0.353085953483037,0.0894936565618838,0,0,0.0190317049827745,0.169349012914017,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.157817963364034,0,0.211504706471575,0,0.222683105192142,0,0.104735757747648,0.0470513971494213,0.00740835601733394,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.145230392696815,0.065743371897783,0,0,0,0.338857648261521,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0113715879428294,0.3947772347956,0.0707520549229919,0.155022695494626,0,0,0,0.0874072613488318,0,0,0,0,0,0
DASH,0,0,0,0.0619100726089252,0,0.0196412857666367,0,0.102687325702065,0,0.153237026252884,0.143165332724911,0,0,0.0466382672579575,0,0,0,0,0,0
TRX,0,0,0,0.436695273704217,0,0,0,0,0.0521367455887457,0.100063875575481,0.124431842663617,0.0656031982366648,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0558733092900829,0,0.117047028522434,0,0.197348544652492,0.195976347701986,0.0924864150041536,0,0,0,0.0514895483107503,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952341724839644
VIX.INDEX,0,0,0,0,0,-0.0000164941995111068,0.0000456799232175388,0,0,-0.000128094269880818,0.00014979068327036,0.0000777383029311345,0,0.0000188441254660386,0,0,0,0,-3.65606767249144,0
